Sample_ID,Source,Collection,Binder_ID,Manufacturer,Origin,Type,Subtype,Apparent_Colour,Details
MTF_ACR_040,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,40,Monsanto Acrilan® B57,Man-made,Acrylic,PAN/VA,N/A,"Bicomponent on PAN + VA base. 6d. x 5."""
MTF_ACR_041,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,41,Snia Velicren®,Man-made,Acrylic,PAN/MA,N/A,Semi-dull with TiO₂. PAN(89%) + MA (DMF solvent). 5d. x 60mm.
MTF_ACR_042,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,42,Snia Velicren®,Man-made,Acrylic,PAN/MA,N/A,Bright. PAN(89%) + MA (DMF solvent). 5d. x 60mm.
MTF_ACR_043,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,43,Snia Velicren® Bicomponent,Man-made,Acrylic,PAN/MA,N/A,Bicomponent. PAN + MA + aromatic sulphonate (DMF solvent). 3.3d. low.
MTF_ACR_044,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,44,Solutia Acrilan® B16,Man-made,Acrylic,PAN/VA,N/A,PAN + VA. 3d.
MTF_ACR_045,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,45,Toho Rayon Beslon® A 240,Man-made,Acrylic,Unspecified PAN (Acrylic) Copolymer,N/A,Acid-dyeable acrylic fiber. PAN + base termonomer (zinc chloride solvent).
MTF_ACR_046,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,46,Toho Rayon Beslon® F 040,Man-made,Acrylic,PAN/AA/MA,N/A,Bicomponent. Random polymer mix. PAN + AA + MA (zinc chloride solvent).
MTF_ACR_047,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,47,Toho Rayon Beslon® R 340,Man-made,Acrylic,PAN/MA,N/A,Superia with increased basic dyeability. PAN + MA (zinc chloride solvent).
MTF_ACR_048,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,48,Toho Rayon Beslon® W 241,Man-made,Acrylic,PAN/MA,N/A,PAN + MA (zinc chloride solvent). No DMF solvent residue.
MTF_ARM_049,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,49,Du Pont Kevlar® 29 T964,Man-made,Aramid,Para-Aramid,N/A,"200d. Yarn. Kevlar is an industrial textile fiber with extremely high strength. Type 29 is used for ballistic apparel, ropes, thermal and cut resistant gloves."
MTF_ARM_050,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,50,Du Pont Kevlar® 49 T968,Man-made,Aramid,Para-Aramid,N/A,"195d. Yarn. Kevlar is an industrial textile fiber with extremely high strength. Type 49 is used for reinforcing plastic composites in aircraft, marine and sporting applications."
MTF_ARM_051,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,51,Du Pont Nomex® OG 1,Man-made,Aramid,Unspecified Aramid Type,N/A,Dogbone X-S. 200 dpf. Used especially in applications requiring resistance to high temperature.
MTF_ARM_052,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,52,Du Pont Nomex® T450,Man-made,Aramid,Meta-Aramid,N/A,100% Nomex. Staple. Used especially in applications requiring resistance to high temperature.
MTF_CAR_053,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,53,Toray Torayca®,Man-made,Carbon,Carbon,N/A,"Round. 6 micrometer diameter, brittle."
MTF_CLF_054,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,54,FMC American Vinyon HH,Man-made,Chlorofiber,Chlorofiber,N/A,"5.5d. x 2. Obsolete."""
MTF_LYO_055,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,55,Courtaulds Tencel®,Man-made,Regenerated cellulose,Lyocell,N/A,Round X-S. Staple.
