Created as New Dataset,3.2 Jute cord
cm-1,%T
2574.00,98.26
2573.00,98.26
2572.00,98.26
2571.00,98.25
2570.00,98.25
2569.00,98.25
2568.00,98.26
2567.00,98.27
2566.00,98.28
2565.00,98.29
2564.00,98.30
2563.00,98.31
2562.00,98.31
2561.00,98.32
2560.00,98.32
2559.00,98.31
2558.00,98.29
2557.00,98.28
2556.00,98.27
2555.00,98.27
2554.00,98.27
2553.00,98.27
2552.00,98.28
2551.00,98.30
2550.00,98.30
2549.00,98.30
2548.00,98.28
2547.00,98.26
2546.00,98.23
2545.00,98.21
2544.00,98.20
2543.00,98.21
2542.00,98.21
2541.00,98.22
2540.00,98.22
2539.00,98.23
2538.00,98.25
2537.00,98.26
2536.00,98.26
2535.00,98.26
2534.00,98.26
2533.00,98.26
2532.00,98.26
2531.00,98.24
2530.00,98.23
2529.00,98.22
2528.00,98.23
2527.00,98.25
2526.00,98.28
2525.00,98.30
2524.00,98.30
2523.00,98.30
2522.00,98.31
2521.00,98.32
2520.00,98.31
2519.00,98.30
2518.00,98.28
2517.00,98.27
2516.00,98.26
2515.00,98.26
2514.00,98.27
2513.00,98.29
2512.00,98.30
2511.00,98.31
2510.00,98.31
2509.00,98.32
2508.00,98.32
2507.00,98.32
2506.00,98.32
2505.00,98.32
2504.00,98.31
2503.00,98.30
2502.00,98.31
2501.00,98.32
2500.00,98.34
2499.00,98.36
2498.00,98.37
2497.00,98.37
2496.00,98.37
2495.00,98.36
2494.00,98.36
2493.00,98.36
2492.00,98.38
2491.00,98.38
2490.00,98.38
2489.00,98.37
2488.00,98.36
2487.00,98.36
2486.00,98.37
2485.00,98.38
2484.00,98.39
2483.00,98.40
2482.00,98.40
2481.00,98.38
2480.00,98.36
2479.00,98.34
2478.00,98.31
2477.00,98.30
2476.00,98.31
2475.00,98.33
2474.00,98.35
2473.00,98.36
2472.00,98.37
2471.00,98.38
2470.00,98.38
2469.00,98.38
2468.00,98.37
2467.00,98.37
2466.00,98.37
2465.00,98.38
2464.00,98.40
