Created as New Dataset,Linen Hand supun thread
cm-1,%T
2561.00,98.77
2560.00,98.80
2559.00,98.81
2558.00,98.82
2557.00,98.82
2556.00,98.82
2555.00,98.81
2554.00,98.80
2553.00,98.78
2552.00,98.78
2551.00,98.79
2550.00,98.81
2549.00,98.82
2548.00,98.84
2547.00,98.86
2546.00,98.86
2545.00,98.85
2544.00,98.82
2543.00,98.79
2542.00,98.78
2541.00,98.78
2540.00,98.79
2539.00,98.80
2538.00,98.80
2537.00,98.77
2536.00,98.75
2535.00,98.75
2534.00,98.75
2533.00,98.77
2532.00,98.77
2531.00,98.77
2530.00,98.76
2529.00,98.75
2528.00,98.74
2527.00,98.74
2526.00,98.75
2525.00,98.78
2524.00,98.81
2523.00,98.81
2522.00,98.80
2521.00,98.78
2520.00,98.76
2519.00,98.76
2518.00,98.77
2517.00,98.78
2516.00,98.80
2515.00,98.82
2514.00,98.85
2513.00,98.87
2512.00,98.89
2511.00,98.89
2510.00,98.89
2509.00,98.87
2508.00,98.85
2507.00,98.83
2506.00,98.81
2505.00,98.80
2504.00,98.81
2503.00,98.82
2502.00,98.83
2501.00,98.83
2500.00,98.83
2499.00,98.82
2498.00,98.84
2497.00,98.85
2496.00,98.85
2495.00,98.83
2494.00,98.81
2493.00,98.80
2492.00,98.82
2491.00,98.83
2490.00,98.84
2489.00,98.83
2488.00,98.82
2487.00,98.82
2486.00,98.82
2485.00,98.83
2484.00,98.83
2483.00,98.82
2482.00,98.82
2481.00,98.82
2480.00,98.83
2479.00,98.84
2478.00,98.86
2477.00,98.86
2476.00,98.86
2475.00,98.86
2474.00,98.86
2473.00,98.87
2472.00,98.88
2471.00,98.88
2470.00,98.88
2469.00,98.87
2468.00,98.86
2467.00,98.86
2466.00,98.86
2465.00,98.86
