Created as New Dataset,15.1 Red Wool sheep natural black roving
cm-1,%T
2515.00,99.64
2514.00,99.65
2513.00,99.64
2512.00,99.63
2511.00,99.61
2510.00,99.60
2509.00,99.57
2508.00,99.55
2507.00,99.53
2506.00,99.55
2505.00,99.58
2504.00,99.61
2503.00,99.64
2502.00,99.65
2501.00,99.64
2500.00,99.63
2499.00,99.62
2498.00,99.62
2497.00,99.62
2496.00,99.63
2495.00,99.64
2494.00,99.65
2493.00,99.63
2492.00,99.61
2491.00,99.61
2490.00,99.63
2489.00,99.65
2488.00,99.68
2487.00,99.68
2486.00,99.67
2485.00,99.65
2484.00,99.63
2483.00,99.62
2482.00,99.63
2481.00,99.65
2480.00,99.67
2479.00,99.69
2478.00,99.71
2477.00,99.70
2476.00,99.68
2475.00,99.66
2474.00,99.67
2473.00,99.69
2472.00,99.71
2471.00,99.71
2470.00,99.70
2469.00,99.68
