Created as New Dataset,7.2. Cotton sSeed with lint
cm-1,%T
2514.00,98.25
2513.00,98.24
2512.00,98.23
2511.00,98.22
2510.00,98.23
2509.00,98.24
2508.00,98.25
2507.00,98.25
2506.00,98.25
2505.00,98.26
2504.00,98.27
2503.00,98.28
2502.00,98.28
2501.00,98.28
2500.00,98.29
2499.00,98.30
2498.00,98.31
2497.00,98.31
2496.00,98.31
2495.00,98.30
2494.00,98.29
2493.00,98.29
2492.00,98.30
2491.00,98.31
2490.00,98.34
2489.00,98.35
2488.00,98.35
2487.00,98.34
2486.00,98.33
2485.00,98.31
2484.00,98.30
2483.00,98.29
2482.00,98.30
2481.00,98.32
2480.00,98.34
2479.00,98.35
2478.00,98.35
2477.00,98.34
2476.00,98.34
2475.00,98.33
2474.00,98.33
2473.00,98.34
2472.00,98.35
2471.00,98.35
2470.00,98.34
2469.00,98.31
2468.00,98.30
