Created as New Dataset,124 Philips (Green)
cm-1,%T
2611.00,98.77
2610.00,98.78
2609.00,98.78
2608.00,98.78
2607.00,98.77
2606.00,98.77
2605.00,98.77
2604.00,98.77
2603.00,98.77
2602.00,98.78
2601.00,98.78
2600.00,98.76
2599.00,98.74
2598.00,98.73
2597.00,98.71
2596.00,98.69
2595.00,98.67
2594.00,98.65
2593.00,98.65
2592.00,98.66
2591.00,98.67
2590.00,98.68
2589.00,98.67
2588.00,98.64
2587.00,98.61
2586.00,98.58
2585.00,98.57
2584.00,98.56
2583.00,98.54
2582.00,98.51
2581.00,98.48
2580.00,98.46
2579.00,98.47
2578.00,98.49
2577.00,98.52
2576.00,98.55
2575.00,98.56
2574.00,98.56
2573.00,98.56
2572.00,98.56
2571.00,98.58
2570.00,98.59
2569.00,98.61
2568.00,98.62
2567.00,98.62
2566.00,98.61
2565.00,98.61
2564.00,98.63
2563.00,98.65
2562.00,98.67
2561.00,98.67
2560.00,98.66
2559.00,98.64
2558.00,98.64
2557.00,98.66
2556.00,98.68
2555.00,98.70
2554.00,98.70
2553.00,98.69
2552.00,98.67
2551.00,98.67
2550.00,98.67
2549.00,98.67
2548.00,98.68
2547.00,98.68
2546.00,98.68
2545.00,98.68
2544.00,98.69
2543.00,98.69
2542.00,98.70
2541.00,98.69
2540.00,98.68
2539.00,98.68
2538.00,98.67
2537.00,98.68
2536.00,98.70
2535.00,98.71
2534.00,98.72
2533.00,98.71
2532.00,98.69
2531.00,98.69
2530.00,98.71
2529.00,98.74
2528.00,98.77
2527.00,98.78
2526.00,98.78
2525.00,98.78
2524.00,98.79
2523.00,98.80
2522.00,98.82
2521.00,98.82
2520.00,98.80
2519.00,98.76
2518.00,98.74
2517.00,98.73
2516.00,98.73
2515.00,98.73
2514.00,98.72
2513.00,98.73
2512.00,98.74
2511.00,98.77
2510.00,98.79
2509.00,98.79
2508.00,98.78
2507.00,98.77
2506.00,98.78
2505.00,98.80
2504.00,98.83
2503.00,98.86
2502.00,98.87
2501.00,98.88
2500.00,98.89
2499.00,98.89
2498.00,98.88
2497.00,98.87
2496.00,98.86
2495.00,98.85
2494.00,98.84
2493.00,98.83
2492.00,98.82
2491.00,98.80
2490.00,98.78
2489.00,98.78
2488.00,98.79
2487.00,98.79
2486.00,98.79
2485.00,98.79
2484.00,98.79
2483.00,98.79
2482.00,98.80
2481.00,98.81
2480.00,98.82
2479.00,98.82
2478.00,98.82
2477.00,98.81
2476.00,98.81
2475.00,98.82
2474.00,98.82
2473.00,98.81
2472.00,98.80
2471.00,98.79
2470.00,98.80
2469.00,98.81
2468.00,98.81
2467.00,98.81
2466.00,98.81
2465.00,98.81
2464.00,98.82
