Created as New Dataset,144 Enka
cm-1,%T
2606.00,99.32
2605.00,99.31
2604.00,99.31
2603.00,99.32
2602.00,99.33
2601.00,99.33
2600.00,99.34
2599.00,99.33
2598.00,99.31
2597.00,99.28
2596.00,99.26
2595.00,99.25
2594.00,99.24
2593.00,99.24
2592.00,99.24
2591.00,99.24
2590.00,99.23
2589.00,99.22
2588.00,99.21
2587.00,99.21
2586.00,99.19
2585.00,99.18
2584.00,99.17
2583.00,99.17
2582.00,99.18
2581.00,99.18
2580.00,99.16
2579.00,99.13
2578.00,99.11
2577.00,99.11
2576.00,99.12
2575.00,99.14
2574.00,99.15
2573.00,99.15
2572.00,99.15
2571.00,99.15
2570.00,99.15
2569.00,99.14
2568.00,99.13
2567.00,99.11
2566.00,99.10
2565.00,99.09
2564.00,99.11
2563.00,99.15
2562.00,99.17
2561.00,99.17
2560.00,99.14
2559.00,99.10
2558.00,99.07
2557.00,99.05
2556.00,99.06
2555.00,99.08
2554.00,99.10
2553.00,99.11
2552.00,99.11
2551.00,99.12
2550.00,99.13
2549.00,99.15
2548.00,99.17
2547.00,99.17
2546.00,99.16
2545.00,99.16
2544.00,99.14
2543.00,99.12
2542.00,99.10
2541.00,99.07
2540.00,99.06
2539.00,99.05
2538.00,99.07
2537.00,99.10
2536.00,99.13
2535.00,99.14
2534.00,99.14
2533.00,99.11
2532.00,99.07
2531.00,99.05
2530.00,99.04
2529.00,99.04
2528.00,99.05
2527.00,99.06
2526.00,99.06
2525.00,99.06
2524.00,99.06
2523.00,99.06
2522.00,99.07
2521.00,99.07
2520.00,99.08
2519.00,99.07
2518.00,99.06
2517.00,99.05
2516.00,99.05
2515.00,99.06
2514.00,99.08
2513.00,99.10
2512.00,99.10
2511.00,99.10
2510.00,99.10
2509.00,99.11
2508.00,99.13
2507.00,99.15
2506.00,99.15
2505.00,99.15
2504.00,99.13
2503.00,99.12
2502.00,99.11
2501.00,99.11
2500.00,99.14
2499.00,99.15
2498.00,99.14
2497.00,99.13
2496.00,99.13
2495.00,99.14
2494.00,99.16
2493.00,99.17
2492.00,99.17
2491.00,99.18
2490.00,99.20
2489.00,99.21
2488.00,99.20
2487.00,99.18
2486.00,99.16
2485.00,99.16
2484.00,99.15
2483.00,99.15
2482.00,99.15
2481.00,99.13
2480.00,99.13
2479.00,99.14
2478.00,99.16
2477.00,99.20
2476.00,99.22
2475.00,99.22
2474.00,99.21
2473.00,99.19
2472.00,99.18
2471.00,99.18
2470.00,99.19
2469.00,99.19
2468.00,99.19
2467.00,99.20
2466.00,99.20
2465.00,99.20
2464.00,99.19
2463.00,99.17
2462.00,99.16
2461.00,99.17
