Created as New Dataset,11.3 Red Wool Coopworth sheep 
cm-1,%T
2770.00,98.38
2769.00,98.39
2768.00,98.40
2767.00,98.39
2766.00,98.38
2765.00,98.37
2764.00,98.38
2763.00,98.39
2762.00,98.41
2761.00,98.42
2760.00,98.42
2759.00,98.41
2758.00,98.41
2757.00,98.42
2756.00,98.42
2755.00,98.42
2754.00,98.42
2753.00,98.42
2752.00,98.43
2751.00,98.45
2750.00,98.47
2749.00,98.48
2748.00,98.50
2747.00,98.50
2746.00,98.50
2745.00,98.49
2744.00,98.48
2743.00,98.47
2742.00,98.47
2741.00,98.48
2740.00,98.50
2739.00,98.52
2738.00,98.53
2737.00,98.53
2736.00,98.54
2735.00,98.55
2734.00,98.55
2733.00,98.56
2732.00,98.57
2731.00,98.58
2730.00,98.58
2729.00,98.58
2728.00,98.58
2727.00,98.59
2726.00,98.60
2725.00,98.60
2724.00,98.61
2723.00,98.61
2722.00,98.62
2721.00,98.62
2720.00,98.63
2719.00,98.63
2718.00,98.64
2717.00,98.65
2716.00,98.67
2715.00,98.68
2714.00,98.68
2713.00,98.67
2712.00,98.67
2711.00,98.67
2710.00,98.68
2709.00,98.68
2708.00,98.68
2707.00,98.68
2706.00,98.69
2705.00,98.69
2704.00,98.70
2703.00,98.71
2702.00,98.72
2701.00,98.71
2700.00,98.70
2699.00,98.68
2698.00,98.68
2697.00,98.69
2696.00,98.71
2695.00,98.73
2694.00,98.75
2693.00,98.77
2692.00,98.78
2691.00,98.79
2690.00,98.79
2689.00,98.79
2688.00,98.79
2687.00,98.79
2686.00,98.78
2685.00,98.78
2684.00,98.78
2683.00,98.77
2682.00,98.78
2681.00,98.79
2680.00,98.80
2679.00,98.81
2678.00,98.81
2677.00,98.81
2676.00,98.82
2675.00,98.82
2674.00,98.83
2673.00,98.84
2672.00,98.85
2671.00,98.85
2670.00,98.86
2669.00,98.86
2668.00,98.87
2667.00,98.87
2666.00,98.88
2665.00,98.88
2664.00,98.89
2663.00,98.89
2662.00,98.88
2661.00,98.87
2660.00,98.86
2659.00,98.84
2658.00,98.83
2657.00,98.82
2656.00,98.81
2655.00,98.81
2654.00,98.81
2653.00,98.81
2652.00,98.80
2651.00,98.79
2650.00,98.78
2649.00,98.78
2648.00,98.79
