Created as New Dataset,138. Polyester Du Pont
cm-1,%T
2608.00,98.49
2607.00,98.47
2606.00,98.44
2605.00,98.41
2604.00,98.39
2603.00,98.38
2602.00,98.39
2601.00,98.40
2600.00,98.40
2599.00,98.41
2598.00,98.42
2597.00,98.43
2596.00,98.43
2595.00,98.43
2594.00,98.42
2593.00,98.42
2592.00,98.40
2591.00,98.36
2590.00,98.33
2589.00,98.31
2588.00,98.30
2587.00,98.30
2586.00,98.30
2585.00,98.30
2584.00,98.30
2583.00,98.30
2582.00,98.30
2581.00,98.30
2580.00,98.31
2579.00,98.32
2578.00,98.31
2577.00,98.31
2576.00,98.29
2575.00,98.28
2574.00,98.28
2573.00,98.29
2572.00,98.29
2571.00,98.29
2570.00,98.28
2569.00,98.27
2568.00,98.26
2567.00,98.25
2566.00,98.24
2565.00,98.25
2564.00,98.25
2563.00,98.25
2562.00,98.25
2561.00,98.23
2560.00,98.22
2559.00,98.21
2558.00,98.20
2557.00,98.20
2556.00,98.20
2555.00,98.20
2554.00,98.20
2553.00,98.21
2552.00,98.22
2551.00,98.24
2550.00,98.25
2549.00,98.25
2548.00,98.23
2547.00,98.21
2546.00,98.19
2545.00,98.17
2544.00,98.15
2543.00,98.14
2542.00,98.13
2541.00,98.12
2540.00,98.11
2539.00,98.12
2538.00,98.13
2537.00,98.15
2536.00,98.16
2535.00,98.18
2534.00,98.19
2533.00,98.19
2532.00,98.18
2531.00,98.17
2530.00,98.16
2529.00,98.15
2528.00,98.14
2527.00,98.12
2526.00,98.11
2525.00,98.13
2524.00,98.16
2523.00,98.18
2522.00,98.19
2521.00,98.18
2520.00,98.17
2519.00,98.18
2518.00,98.20
2517.00,98.23
2516.00,98.25
2515.00,98.25
2514.00,98.25
2513.00,98.24
2512.00,98.23
2511.00,98.21
2510.00,98.20
2509.00,98.19
2508.00,98.19
2507.00,98.19
2506.00,98.19
2505.00,98.19
2504.00,98.19
2503.00,98.19
2502.00,98.20
2501.00,98.20
2500.00,98.19
2499.00,98.19
2498.00,98.19
2497.00,98.20
2496.00,98.23
2495.00,98.26
2494.00,98.29
2493.00,98.31
2492.00,98.32
2491.00,98.32
2490.00,98.32
2489.00,98.31
2488.00,98.29
2487.00,98.28
2486.00,98.27
2485.00,98.28
2484.00,98.27
2483.00,98.27
2482.00,98.27
2481.00,98.27
2480.00,98.28
2479.00,98.29
2478.00,98.32
2477.00,98.35
2476.00,98.36
2475.00,98.36
2474.00,98.35
2473.00,98.33
2472.00,98.32
2471.00,98.32
2470.00,98.33
2469.00,98.34
2468.00,98.34
2467.00,98.32
2466.00,98.31
2465.00,98.31
