Created as New Dataset,60 Lenzing Lenzing Modal
cm-1,%T
2544.00,95.22
2543.00,95.22
2542.00,95.22
2541.00,95.22
2540.00,95.24
2539.00,95.25
2538.00,95.26
2537.00,95.26
2536.00,95.26
2535.00,95.24
2534.00,95.23
2533.00,95.21
2532.00,95.21
2531.00,95.22
2530.00,95.25
2529.00,95.29
2528.00,95.31
2527.00,95.32
2526.00,95.31
2525.00,95.30
2524.00,95.29
2523.00,95.28
2522.00,95.28
2521.00,95.28
2520.00,95.29
2519.00,95.30
2518.00,95.30
2517.00,95.29
2516.00,95.30
2515.00,95.31
2514.00,95.34
2513.00,95.38
2512.00,95.41
2511.00,95.43
2510.00,95.41
2509.00,95.38
2508.00,95.35
2507.00,95.33
2506.00,95.33
2505.00,95.34
2504.00,95.34
2503.00,95.34
2502.00,95.34
2501.00,95.35
2500.00,95.36
2499.00,95.35
2498.00,95.34
2497.00,95.33
2496.00,95.33
2495.00,95.33
2494.00,95.33
2493.00,95.32
2492.00,95.32
2491.00,95.33
2490.00,95.36
2489.00,95.40
2488.00,95.43
2487.00,95.42
2486.00,95.39
2485.00,95.36
2484.00,95.36
2483.00,95.37
2482.00,95.39
2481.00,95.40
2480.00,95.41
2479.00,95.43
2478.00,95.46
2477.00,95.47
2476.00,95.47
2475.00,95.45
2474.00,95.43
2473.00,95.42
2472.00,95.41
2471.00,95.40
2470.00,95.38
2469.00,95.36
2468.00,95.37
