Created as New Dataset,60 Lenzing
cm-1,%T
2793.00,94.49
2792.00,94.50
2791.00,94.52
2790.00,94.53
2789.00,94.53
2788.00,94.53
2787.00,94.54
2786.00,94.56
2785.00,94.57
2784.00,94.59
2783.00,94.60
2782.00,94.61
2781.00,94.62
2780.00,94.63
2779.00,94.65
2778.00,94.67
2777.00,94.69
2776.00,94.70
2775.00,94.72
2774.00,94.74
2773.00,94.75
2772.00,94.77
2771.00,94.77
2770.00,94.77
2769.00,94.77
2768.00,94.78
2767.00,94.80
2766.00,94.81
2765.00,94.81
2764.00,94.83
2763.00,94.84
2762.00,94.85
2761.00,94.86
2760.00,94.87
2759.00,94.88
2758.00,94.89
2757.00,94.90
2756.00,94.91
2755.00,94.93
2754.00,94.93
2753.00,94.93
2752.00,94.91
2751.00,94.90
2750.00,94.89
2749.00,94.89
2748.00,94.90
2747.00,94.92
2746.00,94.94
2745.00,94.94
2744.00,94.94
2743.00,94.93
2742.00,94.93
2741.00,94.92
2740.00,94.92
2739.00,94.92
2738.00,94.94
2737.00,94.95
2736.00,94.97
2735.00,94.97
2734.00,94.96
2733.00,94.96
2732.00,94.97
2731.00,94.98
2730.00,95.00
2729.00,95.00
2728.00,95.00
2727.00,94.99
2726.00,94.99
2725.00,94.99
2724.00,94.99
2723.00,94.99
2722.00,95.00
2721.00,95.01
2720.00,95.02
2719.00,95.04
2718.00,95.05
2717.00,95.06
2716.00,95.06
2715.00,95.06
2714.00,95.07
2713.00,95.08
2712.00,95.09
2711.00,95.09
2710.00,95.10
2709.00,95.11
2708.00,95.12
2707.00,95.13
2706.00,95.14
2705.00,95.15
2704.00,95.16
2703.00,95.17
2702.00,95.19
2701.00,95.20
2700.00,95.21
2699.00,95.21
2698.00,95.21
2697.00,95.21
2696.00,95.23
2695.00,95.24
2694.00,95.25
2693.00,95.24
2692.00,95.23
2691.00,95.23
2690.00,95.23
2689.00,95.25
2688.00,95.25
2687.00,95.25
2686.00,95.26
2685.00,95.27
2684.00,95.29
2683.00,95.30
2682.00,95.30
2681.00,95.30
2680.00,95.30
2679.00,95.30
2678.00,95.31
2677.00,95.32
2676.00,95.34
2675.00,95.35
2674.00,95.37
2673.00,95.38
2672.00,95.38
2671.00,95.38
2670.00,95.37
2669.00,95.37
2668.00,95.37
2667.00,95.38
2666.00,95.39
2665.00,95.41
2664.00,95.41
2663.00,95.41
2662.00,95.40
2661.00,95.39
2660.00,95.38
2659.00,95.38
2658.00,95.37
2657.00,95.35
2656.00,95.34
2655.00,95.33
2654.00,95.33
2653.00,95.34
2652.00,95.36
2651.00,95.38
2650.00,95.40
2649.00,95.41
2648.00,95.41
2647.00,95.40
2646.00,95.38
2645.00,95.37
2644.00,95.37
2643.00,95.37
2642.00,95.37
2641.00,95.37
2640.00,95.37
2639.00,95.37
2638.00,95.36
2637.00,95.34
2636.00,95.31
2635.00,95.30
2634.00,95.30
2633.00,95.29
2632.00,95.29
2631.00,95.27
2630.00,95.26
2629.00,95.27
2628.00,95.28
2627.00,95.29
2626.00,95.29
2625.00,95.30
2624.00,95.30
2623.00,95.30
2622.00,95.30
2621.00,95.31
2620.00,95.32
2619.00,95.32
2618.00,95.32
2617.00,95.31
2616.00,95.31
2615.00,95.32
2614.00,95.32
2613.00,95.33
2612.00,95.32
2611.00,95.31
2610.00,95.30
2609.00,95.29
2608.00,95.29
2607.00,95.27
2606.00,95.26
2605.00,95.25
2604.00,95.26
2603.00,95.28
2602.00,95.28
2601.00,95.27
2600.00,95.25
2599.00,95.22
2598.00,95.20
2597.00,95.19
2596.00,95.19
2595.00,95.19
2594.00,95.19
2593.00,95.19
2592.00,95.19
2591.00,95.19
2590.00,95.18
2589.00,95.17
2588.00,95.16
2587.00,95.16
2586.00,95.16
2585.00,95.18
2584.00,95.20
2583.00,95.20
2582.00,95.20
2581.00,95.20
2580.00,95.21
2579.00,95.22
2578.00,95.21
2577.00,95.20
2576.00,95.19
2575.00,95.19
2574.00,95.19
2573.00,95.19
2572.00,95.19
2571.00,95.19
2570.00,95.18
2569.00,95.16
2568.00,95.16
2567.00,95.17
2566.00,95.18
2565.00,95.20
2564.00,95.21
2563.00,95.22
2562.00,95.24
2561.00,95.25
2560.00,95.25
2559.00,95.24
2558.00,95.21
2557.00,95.19
2556.00,95.19
2555.00,95.20
2554.00,95.23
2553.00,95.26
2552.00,95.27
2551.00,95.25
2550.00,95.23
2549.00,95.22
2548.00,95.23
2547.00,95.25
2546.00,95.26
2545.00,95.26
2544.00,95.25
2543.00,95.24
2542.00,95.24
2541.00,95.24
2540.00,95.26
2539.00,95.28
2538.00,95.29
2537.00,95.29
2536.00,95.29
2535.00,95.27
2534.00,95.24
2533.00,95.21
2532.00,95.19
2531.00,95.19
2530.00,95.20
2529.00,95.22
2528.00,95.24
2527.00,95.25
2526.00,95.26
2525.00,95.27
2524.00,95.28
2523.00,95.28
2522.00,95.26
2521.00,95.22
2520.00,95.19
2519.00,95.19
2518.00,95.20
2517.00,95.23
2516.00,95.26
2515.00,95.30
2514.00,95.31
2513.00,95.31
2512.00,95.30
2511.00,95.28
2510.00,95.27
2509.00,95.27
2508.00,95.27
2507.00,95.27
2506.00,95.27
2505.00,95.26
2504.00,95.25
2503.00,95.24
2502.00,95.24
2501.00,95.26
2500.00,95.30
2499.00,95.33
2498.00,95.34
2497.00,95.34
2496.00,95.32
2495.00,95.31
2494.00,95.31
2493.00,95.32
2492.00,95.34
2491.00,95.35
2490.00,95.36
2489.00,95.36
2488.00,95.36
2487.00,95.36
2486.00,95.35
2485.00,95.34
2484.00,95.32
2483.00,95.33
2482.00,95.36
2481.00,95.38
2480.00,95.39
2479.00,95.38
2478.00,95.37
2477.00,95.37
2476.00,95.39
2475.00,95.41
2474.00,95.40
2473.00,95.38
2472.00,95.34
2471.00,95.31
2470.00,95.31
2469.00,95.32
2468.00,95.35
2467.00,95.39
2466.00,95.42
2465.00,95.43
2464.00,95.42
2463.00,95.39
