Created as New Dataset,188 Courtaulds
cm-1,%T
2730.00,99.18
2729.00,99.18
2728.00,99.19
2727.00,99.19
2726.00,99.19
2725.00,99.20
2724.00,99.22
2723.00,99.22
2722.00,99.22
2721.00,99.21
2720.00,99.20
2719.00,99.20
2718.00,99.20
2717.00,99.20
2716.00,99.20
2715.00,99.19
2714.00,99.19
2713.00,99.19
2712.00,99.20
2711.00,99.22
2710.00,99.24
2709.00,99.25
2708.00,99.26
2707.00,99.25
2706.00,99.24
2705.00,99.25
2704.00,99.26
2703.00,99.28
2702.00,99.29
2701.00,99.30
2700.00,99.30
2699.00,99.30
2698.00,99.30
2697.00,99.30
2696.00,99.31
2695.00,99.31
2694.00,99.31
2693.00,99.31
2692.00,99.31
2691.00,99.31
2690.00,99.31
2689.00,99.32
2688.00,99.33
2687.00,99.34
2686.00,99.34
2685.00,99.34
2684.00,99.33
2683.00,99.33
2682.00,99.33
2681.00,99.33
2680.00,99.34
2679.00,99.34
2678.00,99.34
2677.00,99.34
2676.00,99.35
2675.00,99.36
2674.00,99.37
2673.00,99.38
2672.00,99.39
2671.00,99.39
2670.00,99.39
2669.00,99.39
2668.00,99.39
2667.00,99.39
2666.00,99.39
2665.00,99.38
2664.00,99.37
2663.00,99.36
2662.00,99.37
2661.00,99.39
2660.00,99.41
2659.00,99.42
2658.00,99.42
2657.00,99.41
2656.00,99.41
2655.00,99.40
2654.00,99.41
2653.00,99.40
2652.00,99.39
2651.00,99.38
2650.00,99.37
2649.00,99.36
2648.00,99.37
2647.00,99.37
2646.00,99.37
2645.00,99.38
2644.00,99.37
2643.00,99.37
2642.00,99.36
2641.00,99.36
2640.00,99.35
2639.00,99.35
2638.00,99.35
2637.00,99.35
2636.00,99.36
2635.00,99.38
2634.00,99.39
2633.00,99.40
2632.00,99.41
2631.00,99.41
2630.00,99.40
2629.00,99.39
2628.00,99.38
2627.00,99.38
2626.00,99.39
2625.00,99.39
2624.00,99.39
2623.00,99.39
2622.00,99.40
2621.00,99.41
2620.00,99.42
2619.00,99.42
2618.00,99.41
2617.00,99.39
2616.00,99.37
2615.00,99.36
2614.00,99.35
2613.00,99.35
2612.00,99.35
2611.00,99.38
2610.00,99.41
2609.00,99.44
2608.00,99.45
2607.00,99.45
2606.00,99.45
2605.00,99.44
2604.00,99.43
2603.00,99.42
2602.00,99.41
2601.00,99.40
2600.00,99.39
2599.00,99.39
2598.00,99.39
2597.00,99.40
2596.00,99.40
2595.00,99.38
2594.00,99.36
2593.00,99.34
2592.00,99.34
2591.00,99.35
2590.00,99.37
2589.00,99.39
2588.00,99.39
2587.00,99.38
2586.00,99.35
2585.00,99.33
2584.00,99.32
2583.00,99.32
2582.00,99.33
2581.00,99.33
2580.00,99.34
2579.00,99.34
2578.00,99.34
2577.00,99.34
2576.00,99.34
2575.00,99.35
2574.00,99.35
2573.00,99.36
2572.00,99.36
2571.00,99.35
2570.00,99.34
2569.00,99.32
2568.00,99.33
2567.00,99.35
2566.00,99.38
2565.00,99.40
2564.00,99.42
2563.00,99.42
2562.00,99.42
2561.00,99.41
2560.00,99.41
2559.00,99.40
2558.00,99.39
2557.00,99.38
2556.00,99.38
2555.00,99.39
2554.00,99.41
2553.00,99.42
2552.00,99.41
2551.00,99.40
2550.00,99.39
2549.00,99.39
2548.00,99.39
2547.00,99.38
2546.00,99.38
2545.00,99.38
2544.00,99.38
2543.00,99.37
2542.00,99.37
2541.00,99.35
2540.00,99.35
2539.00,99.35
2538.00,99.37
2537.00,99.39
2536.00,99.41
2535.00,99.41
2534.00,99.40
2533.00,99.40
2532.00,99.39
2531.00,99.38
2530.00,99.38
2529.00,99.37
2528.00,99.38
2527.00,99.40
2526.00,99.42
2525.00,99.43
2524.00,99.44
2523.00,99.44
2522.00,99.43
2521.00,99.39
2520.00,99.34
2519.00,99.32
2518.00,99.31
2517.00,99.32
2516.00,99.35
2515.00,99.37
2514.00,99.40
2513.00,99.41
2512.00,99.41
2511.00,99.40
2510.00,99.40
2509.00,99.41
2508.00,99.42
2507.00,99.43
2506.00,99.43
2505.00,99.42
2504.00,99.41
2503.00,99.40
2502.00,99.40
2501.00,99.41
2500.00,99.42
2499.00,99.42
2498.00,99.43
2497.00,99.44
2496.00,99.45
2495.00,99.44
2494.00,99.43
2493.00,99.41
2492.00,99.40
2491.00,99.40
2490.00,99.42
2489.00,99.43
2488.00,99.45
2487.00,99.47
2486.00,99.47
2485.00,99.47
2484.00,99.47
2483.00,99.47
2482.00,99.47
2481.00,99.45
2480.00,99.44
2479.00,99.44
2478.00,99.44
2477.00,99.46
2476.00,99.47
2475.00,99.48
2474.00,99.48
2473.00,99.48
2472.00,99.48
2471.00,99.47
2470.00,99.45
2469.00,99.44
2468.00,99.42
2467.00,99.41
2466.00,99.39
2465.00,99.39
2464.00,99.40
2463.00,99.43
