Created as New Dataset,72 Waxman Fibers
cm-1,%T
2774.00,99.43
2773.00,99.42
2772.00,99.42
2771.00,99.42
2770.00,99.42
2769.00,99.41
2768.00,99.41
2767.00,99.41
2766.00,99.40
2765.00,99.40
2764.00,99.40
2763.00,99.41
2762.00,99.41
2761.00,99.42
2760.00,99.43
2759.00,99.43
2758.00,99.42
2757.00,99.42
2756.00,99.41
2755.00,99.41
2754.00,99.41
2753.00,99.41
2752.00,99.41
2751.00,99.42
2750.00,99.43
2749.00,99.43
2748.00,99.42
2747.00,99.41
2746.00,99.41
2745.00,99.41
2744.00,99.40
2743.00,99.39
2742.00,99.38
2741.00,99.37
2740.00,99.36
2739.00,99.36
2738.00,99.35
2737.00,99.34
2736.00,99.34
2735.00,99.35
2734.00,99.36
2733.00,99.37
2732.00,99.38
2731.00,99.38
2730.00,99.39
2729.00,99.39
2728.00,99.39
2727.00,99.39
2726.00,99.39
2725.00,99.38
2724.00,99.38
2723.00,99.37
2722.00,99.36
2721.00,99.36
2720.00,99.36
2719.00,99.35
2718.00,99.35
2717.00,99.36
2716.00,99.36
2715.00,99.36
2714.00,99.35
2713.00,99.35
2712.00,99.35
2711.00,99.37
2710.00,99.39
2709.00,99.41
2708.00,99.42
2707.00,99.41
2706.00,99.40
2705.00,99.38
2704.00,99.36
2703.00,99.36
2702.00,99.36
2701.00,99.37
2700.00,99.38
2699.00,99.38
2698.00,99.37
2697.00,99.35
2696.00,99.34
2695.00,99.33
2694.00,99.34
2693.00,99.34
2692.00,99.33
2691.00,99.34
2690.00,99.35
2689.00,99.35
2688.00,99.35
2687.00,99.35
2686.00,99.34
2685.00,99.35
2684.00,99.36
2683.00,99.37
2682.00,99.37
2681.00,99.36
2680.00,99.35
2679.00,99.35
2678.00,99.34
2677.00,99.34
2676.00,99.33
2675.00,99.33
2674.00,99.32
2673.00,99.32
2672.00,99.32
2671.00,99.33
2670.00,99.33
2669.00,99.34
2668.00,99.34
2667.00,99.34
2666.00,99.33
2665.00,99.32
2664.00,99.31
2663.00,99.30
2662.00,99.30
2661.00,99.30
2660.00,99.29
2659.00,99.28
2658.00,99.27
2657.00,99.26
2656.00,99.24
2655.00,99.23
2654.00,99.23
2653.00,99.23
2652.00,99.23
2651.00,99.22
2650.00,99.20
2649.00,99.18
2648.00,99.17
2647.00,99.16
2646.00,99.15
2645.00,99.15
2644.00,99.15
2643.00,99.14
2642.00,99.14
2641.00,99.14
2640.00,99.13
2639.00,99.11
2638.00,99.09
2637.00,99.08
2636.00,99.08
2635.00,99.09
2634.00,99.09
2633.00,99.09
2632.00,99.08
2631.00,99.08
2630.00,99.08
2629.00,99.09
2628.00,99.10
2627.00,99.12
2626.00,99.12
2625.00,99.11
2624.00,99.09
2623.00,99.05
2622.00,99.02
2621.00,98.99
2620.00,98.99
2619.00,99.00
2618.00,99.00
2617.00,99.00
2616.00,99.00
2615.00,99.00
2614.00,99.00
2613.00,98.99
2612.00,98.98
2611.00,98.96
2610.00,98.95
2609.00,98.96
2608.00,98.98
2607.00,98.99
2606.00,98.99
2605.00,98.99
2604.00,98.98
2603.00,98.97
2602.00,98.96
2601.00,98.95
2600.00,98.93
2599.00,98.91
2598.00,98.88
2597.00,98.87
2596.00,98.88
2595.00,98.90
2594.00,98.92
2593.00,98.93
2592.00,98.93
2591.00,98.93
2590.00,98.93
2589.00,98.91
2588.00,98.90
2587.00,98.89
2586.00,98.88
2585.00,98.86
2584.00,98.84
2583.00,98.83
2582.00,98.81
2581.00,98.79
2580.00,98.78
2579.00,98.78
2578.00,98.80
2577.00,98.82
2576.00,98.84
2575.00,98.84
2574.00,98.84
2573.00,98.84
2572.00,98.83
2571.00,98.83
2570.00,98.83
2569.00,98.83
2568.00,98.83
2567.00,98.83
2566.00,98.83
2565.00,98.83
2564.00,98.82
2563.00,98.81
2562.00,98.80
2561.00,98.79
2560.00,98.79
2559.00,98.80
2558.00,98.81
2557.00,98.81
2556.00,98.82
2555.00,98.83
2554.00,98.83
2553.00,98.83
2552.00,98.83
2551.00,98.81
2550.00,98.78
2549.00,98.76
2548.00,98.74
2547.00,98.74
2546.00,98.74
2545.00,98.75
2544.00,98.77
2543.00,98.77
2542.00,98.77
2541.00,98.76
2540.00,98.75
2539.00,98.74
2538.00,98.72
2537.00,98.71
2536.00,98.71
2535.00,98.72
2534.00,98.73
2533.00,98.74
2532.00,98.73
2531.00,98.72
2530.00,98.73
2529.00,98.73
2528.00,98.73
2527.00,98.71
2526.00,98.69
2525.00,98.68
2524.00,98.70
2523.00,98.72
2522.00,98.73
2521.00,98.74
2520.00,98.74
2519.00,98.74
2518.00,98.74
2517.00,98.75
2516.00,98.75
2515.00,98.75
2514.00,98.75
2513.00,98.75
2512.00,98.76
2511.00,98.78
2510.00,98.80
2509.00,98.82
2508.00,98.82
2507.00,98.81
2506.00,98.80
2505.00,98.78
2504.00,98.76
2503.00,98.74
2502.00,98.73
2501.00,98.73
2500.00,98.73
2499.00,98.74
2498.00,98.75
2497.00,98.75
2496.00,98.76
2495.00,98.77
2494.00,98.77
2493.00,98.76
2492.00,98.75
2491.00,98.74
2490.00,98.74
2489.00,98.75
2488.00,98.77
2487.00,98.77
