Created as New Dataset,166. Hoechst (Dark Blue)
cm-1,%T
2967.00,93.87
2966.00,93.90
2965.00,93.93
2964.00,93.96
2963.00,93.98
2962.00,93.99
2961.00,94.01
2960.00,94.04
2959.00,94.07
2958.00,94.11
2957.00,94.15
2956.00,94.19
2955.00,94.25
2954.00,94.30
2953.00,94.33
2952.00,94.36
2951.00,94.39
2950.00,94.44
2949.00,94.49
2948.00,94.54
2947.00,94.57
2946.00,94.60
2945.00,94.63
2944.00,94.67
2943.00,94.71
2942.00,94.75
2941.00,94.78
2940.00,94.80
2939.00,94.82
2938.00,94.83
2937.00,94.84
2936.00,94.85
2935.00,94.86
2934.00,94.86
2933.00,94.86
2932.00,94.87
2931.00,94.87
2930.00,94.87
2929.00,94.88
2928.00,94.88
2927.00,94.89
2926.00,94.88
2925.00,94.87
2924.00,94.85
2923.00,94.83
2922.00,94.81
2921.00,94.79
2920.00,94.76
2919.00,94.74
2918.00,94.72
2917.00,94.69
2916.00,94.65
2915.00,94.61
2914.00,94.56
2913.00,94.53
2912.00,94.51
2911.00,94.50
2910.00,94.47
2909.00,94.45
2908.00,94.42
2907.00,94.42
2906.00,94.43
2905.00,94.46
2904.00,94.51
2903.00,94.57
2902.00,94.62
2901.00,94.66
2900.00,94.69
2899.00,94.71
2898.00,94.73
2897.00,94.75
2896.00,94.78
2895.00,94.80
2894.00,94.81
2893.00,94.80
2892.00,94.79
2891.00,94.79
2890.00,94.80
2889.00,94.82
2888.00,94.85
2887.00,94.88
2886.00,94.90
2885.00,94.91
2884.00,94.90
2883.00,94.89
2882.00,94.88
2881.00,94.88
2880.00,94.91
2879.00,94.94
2878.00,94.96
2877.00,94.98
2876.00,95.00
2875.00,95.01
2874.00,95.03
2873.00,95.03
2872.00,95.01
2871.00,95.00
2870.00,94.98
2869.00,94.98
2868.00,94.98
2867.00,94.99
2866.00,94.99
2865.00,94.99
2864.00,95.00
2863.00,95.02
2862.00,95.03
2861.00,95.03
2860.00,95.02
2859.00,95.02
2858.00,95.01
2857.00,95.00
2856.00,95.00
2855.00,94.99
2854.00,94.99
2853.00,94.98
2852.00,94.98
2851.00,94.98
2850.00,95.00
2849.00,95.02
2848.00,95.04
2847.00,95.07
2846.00,95.11
2845.00,95.15
2844.00,95.19
2843.00,95.22
2842.00,95.24
2841.00,95.25
2840.00,95.26
2839.00,95.26
2838.00,95.27
2837.00,95.27
2836.00,95.28
2835.00,95.29
