Created as New Dataset,58 Eastman Fibres
cm-1,%T
2809.00,99.32
2808.00,99.31
2807.00,99.29
2806.00,99.29
2805.00,99.29
2804.00,99.31
2803.00,99.32
2802.00,99.33
2801.00,99.33
2800.00,99.33
2799.00,99.34
2798.00,99.35
2797.00,99.35
2796.00,99.34
2795.00,99.34
2794.00,99.33
2793.00,99.34
2792.00,99.34
2791.00,99.34
2790.00,99.34
2789.00,99.34
2788.00,99.34
2787.00,99.34
2786.00,99.33
2785.00,99.32
2784.00,99.32
2783.00,99.32
2782.00,99.33
2781.00,99.34
2780.00,99.34
2779.00,99.35
2778.00,99.35
2777.00,99.35
2776.00,99.36
2775.00,99.37
2774.00,99.38
2773.00,99.39
2772.00,99.40
2771.00,99.41
2770.00,99.42
2769.00,99.42
2768.00,99.41
2767.00,99.39
2766.00,99.38
2765.00,99.37
2764.00,99.38
2763.00,99.40
2762.00,99.41
2761.00,99.42
2760.00,99.41
2759.00,99.39
2758.00,99.38
2757.00,99.37
2756.00,99.36
2755.00,99.36
2754.00,99.36
2753.00,99.37
2752.00,99.38
2751.00,99.40
2750.00,99.40
2749.00,99.39
2748.00,99.38
2747.00,99.37
2746.00,99.36
2745.00,99.36
2744.00,99.36
2743.00,99.36
2742.00,99.35
2741.00,99.34
2740.00,99.33
2739.00,99.33
2738.00,99.34
2737.00,99.36
2736.00,99.38
2735.00,99.40
2734.00,99.41
2733.00,99.39
2732.00,99.37
2731.00,99.36
2730.00,99.36
2729.00,99.37
2728.00,99.38
2727.00,99.38
2726.00,99.38
2725.00,99.38
2724.00,99.38
2723.00,99.38
2722.00,99.39
2721.00,99.39
2720.00,99.39
2719.00,99.39
2718.00,99.38
2717.00,99.37
2716.00,99.37
2715.00,99.36
2714.00,99.37
2713.00,99.37
2712.00,99.38
2711.00,99.39
2710.00,99.40
2709.00,99.40
2708.00,99.40
2707.00,99.40
2706.00,99.40
2705.00,99.40
2704.00,99.40
2703.00,99.39
2702.00,99.39
2701.00,99.40
2700.00,99.41
2699.00,99.43
2698.00,99.44
2697.00,99.44
2696.00,99.42
2695.00,99.40
2694.00,99.37
2693.00,99.36
2692.00,99.36
2691.00,99.38
2690.00,99.39
2689.00,99.40
2688.00,99.41
