Created as New Dataset,187 Cortaulds
cm-1,%T
2601.00,100.64
2600.00,100.63
2599.00,100.60
2598.00,100.58
2597.00,100.57
2596.00,100.57
2595.00,100.57
2594.00,100.57
2593.00,100.58
2592.00,100.59
2591.00,100.59
2590.00,100.59
2589.00,100.58
2588.00,100.58
2587.00,100.58
2586.00,100.58
2585.00,100.59
2584.00,100.59
2583.00,100.60
2582.00,100.60
2581.00,100.61
2580.00,100.63
2579.00,100.63
2578.00,100.62
2577.00,100.61
2576.00,100.60
2575.00,100.60
2574.00,100.62
2573.00,100.63
2572.00,100.64
2571.00,100.64
2570.00,100.64
2569.00,100.64
2568.00,100.63
2567.00,100.62
2566.00,100.61
2565.00,100.61
2564.00,100.61
2563.00,100.61
2562.00,100.61
2561.00,100.63
2560.00,100.66
2559.00,100.68
2558.00,100.68
2557.00,100.65
2556.00,100.63
2555.00,100.62
2554.00,100.65
2553.00,100.67
2552.00,100.69
2551.00,100.70
2550.00,100.69
2549.00,100.69
2548.00,100.69
2547.00,100.69
2546.00,100.68
2545.00,100.68
2544.00,100.68
2543.00,100.69
2542.00,100.71
2541.00,100.73
2540.00,100.73
2539.00,100.72
2538.00,100.72
2537.00,100.73
2536.00,100.74
2535.00,100.74
2534.00,100.72
2533.00,100.71
2532.00,100.71
2531.00,100.71
2530.00,100.70
2529.00,100.69
2528.00,100.69
2527.00,100.69
2526.00,100.69
2525.00,100.69
2524.00,100.70
2523.00,100.70
2522.00,100.69
2521.00,100.66
2520.00,100.63
2519.00,100.63
2518.00,100.65
2517.00,100.66
2516.00,100.67
2515.00,100.67
2514.00,100.67
2513.00,100.66
2512.00,100.65
2511.00,100.65
2510.00,100.65
2509.00,100.66
2508.00,100.67
2507.00,100.68
2506.00,100.68
2505.00,100.67
2504.00,100.67
2503.00,100.67
2502.00,100.68
2501.00,100.70
2500.00,100.72
2499.00,100.73
2498.00,100.72
2497.00,100.69
2496.00,100.66
2495.00,100.64
2494.00,100.64
2493.00,100.66
2492.00,100.70
2491.00,100.74
2490.00,100.76
2489.00,100.77
2488.00,100.75
2487.00,100.74
2486.00,100.72
2485.00,100.71
2484.00,100.72
2483.00,100.73
2482.00,100.74
2481.00,100.75
2480.00,100.74
2479.00,100.73
2478.00,100.72
2477.00,100.71
2476.00,100.71
2475.00,100.71
2474.00,100.72
2473.00,100.72
2472.00,100.73
2471.00,100.73
2470.00,100.74
2469.00,100.75
2468.00,100.75
2467.00,100.76
2466.00,100.75
2465.00,100.74
2464.00,100.72
2463.00,100.71
