Created as New Dataset,14.4 Red Wool Sheep felt handmade
cm-1,%T
2605.00,96.00
2604.00,96.02
2603.00,96.03
2602.00,96.02
2601.00,96.01
2600.00,96.01
2599.00,96.01
2598.00,96.02
2597.00,96.02
2596.00,96.02
2595.00,96.02
2594.00,96.01
2593.00,96.00
2592.00,95.98
2591.00,95.96
2590.00,95.95
2589.00,95.96
2588.00,95.99
2587.00,96.02
2586.00,96.04
2585.00,96.05
2584.00,96.04
2583.00,96.03
2582.00,96.01
2581.00,96.00
2580.00,95.99
2579.00,95.99
2578.00,96.00
2577.00,96.01
2576.00,96.03
2575.00,96.03
2574.00,96.02
2573.00,96.00
2572.00,95.98
2571.00,95.97
2570.00,95.96
2569.00,95.96
2568.00,95.97
2567.00,95.99
2566.00,96.03
2565.00,96.07
2564.00,96.09
2563.00,96.09
2562.00,96.08
2561.00,96.06
2560.00,96.04
2559.00,96.03
2558.00,96.03
2557.00,96.05
2556.00,96.05
2555.00,96.03
2554.00,96.01
2553.00,95.99
2552.00,95.99
2551.00,96.01
2550.00,96.03
2549.00,96.05
2548.00,96.05
2547.00,96.04
2546.00,96.03
2545.00,96.02
2544.00,96.02
2543.00,96.02
2542.00,96.03
2541.00,96.05
2540.00,96.07
2539.00,96.07
2538.00,96.08
2537.00,96.10
2536.00,96.12
2535.00,96.13
2534.00,96.13
2533.00,96.13
2532.00,96.13
2531.00,96.14
2530.00,96.14
2529.00,96.13
2528.00,96.11
2527.00,96.10
2526.00,96.11
2525.00,96.12
2524.00,96.13
2523.00,96.14
2522.00,96.13
2521.00,96.13
2520.00,96.14
2519.00,96.14
2518.00,96.13
2517.00,96.11
2516.00,96.08
2515.00,96.07
2514.00,96.06
2513.00,96.07
2512.00,96.09
2511.00,96.11
2510.00,96.12
2509.00,96.13
2508.00,96.12
2507.00,96.11
2506.00,96.11
2505.00,96.10
2504.00,96.09
2503.00,96.09
2502.00,96.10
2501.00,96.10
2500.00,96.09
2499.00,96.07
2498.00,96.07
2497.00,96.09
2496.00,96.13
2495.00,96.17
2494.00,96.20
2493.00,96.21
2492.00,96.20
2491.00,96.19
2490.00,96.18
2489.00,96.17
2488.00,96.17
2487.00,96.18
2486.00,96.18
2485.00,96.19
2484.00,96.20
2483.00,96.21
2482.00,96.20
2481.00,96.19
2480.00,96.17
2479.00,96.16
2478.00,96.16
2477.00,96.17
2476.00,96.17
2475.00,96.18
2474.00,96.18
2473.00,96.17
2472.00,96.17
2471.00,96.17
2470.00,96.19
