Created as New Dataset,68 Waxman (Black)
cm-1,%T
2689.00,95.06
2688.00,95.06
2687.00,95.06
2686.00,95.07
2685.00,95.08
2684.00,95.09
2683.00,95.10
2682.00,95.10
2681.00,95.09
2680.00,95.07
2679.00,95.06
2678.00,95.06
2677.00,95.07
2676.00,95.08
2675.00,95.08
2674.00,95.08
2673.00,95.08
2672.00,95.07
2671.00,95.06
2670.00,95.06
2669.00,95.07
2668.00,95.09
2667.00,95.09
2666.00,95.09
2665.00,95.08
2664.00,95.07
2663.00,95.06
2662.00,95.05
2661.00,95.04
2660.00,95.04
2659.00,95.03
2658.00,95.02
2657.00,95.01
2656.00,94.99
2655.00,94.98
2654.00,94.99
2653.00,94.99
2652.00,94.97
2651.00,94.95
2650.00,94.92
2649.00,94.89
2648.00,94.87
2647.00,94.84
2646.00,94.84
2645.00,94.84
2644.00,94.84
2643.00,94.84
2642.00,94.83
2641.00,94.82
2640.00,94.80
2639.00,94.77
2638.00,94.75
2637.00,94.74
2636.00,94.74
2635.00,94.75
2634.00,94.76
2633.00,94.76
2632.00,94.74
2631.00,94.71
2630.00,94.69
2629.00,94.67
2628.00,94.67
2627.00,94.67
2626.00,94.66
2625.00,94.65
2624.00,94.63
2623.00,94.61
2622.00,94.59
2621.00,94.58
2620.00,94.58
2619.00,94.59
2618.00,94.59
2617.00,94.59
2616.00,94.57
2615.00,94.54
2614.00,94.52
2613.00,94.50
2612.00,94.50
2611.00,94.50
2610.00,94.51
2609.00,94.51
2608.00,94.51
2607.00,94.51
2606.00,94.50
2605.00,94.50
2604.00,94.49
2603.00,94.47
2602.00,94.44
2601.00,94.40
2600.00,94.37
2599.00,94.35
2598.00,94.34
2597.00,94.34
2596.00,94.35
2595.00,94.36
2594.00,94.38
2593.00,94.40
2592.00,94.41
2591.00,94.41
2590.00,94.40
2589.00,94.38
2588.00,94.34
2587.00,94.32
2586.00,94.31
2585.00,94.33
2584.00,94.34
2583.00,94.33
2582.00,94.29
2581.00,94.26
2580.00,94.24
2579.00,94.24
2578.00,94.25
2577.00,94.26
2576.00,94.27
2575.00,94.27
2574.00,94.27
2573.00,94.26
2572.00,94.25
2571.00,94.24
2570.00,94.24
2569.00,94.23
2568.00,94.24
2567.00,94.25
2566.00,94.26
2565.00,94.27
2564.00,94.26
2563.00,94.25
2562.00,94.26
2561.00,94.26
2560.00,94.27
2559.00,94.28
2558.00,94.27
2557.00,94.26
2556.00,94.24
2555.00,94.22
2554.00,94.21
2553.00,94.21
2552.00,94.20
2551.00,94.18
2550.00,94.15
2549.00,94.12
2548.00,94.11
2547.00,94.12
2546.00,94.11
2545.00,94.10
2544.00,94.08
2543.00,94.08
2542.00,94.09
2541.00,94.10
2540.00,94.10
2539.00,94.09
2538.00,94.08
2537.00,94.07
2536.00,94.06
2535.00,94.07
2534.00,94.09
2533.00,94.11
2532.00,94.13
2531.00,94.13
2530.00,94.13
2529.00,94.12
2528.00,94.10
2527.00,94.10
2526.00,94.10
2525.00,94.10
2524.00,94.11
2523.00,94.11
2522.00,94.11
2521.00,94.11
2520.00,94.11
2519.00,94.12
2518.00,94.13
2517.00,94.15
2516.00,94.18
2515.00,94.19
2514.00,94.18
2513.00,94.16
2512.00,94.14
2511.00,94.14
2510.00,94.16
2509.00,94.19
2508.00,94.21
2507.00,94.21
2506.00,94.20
2505.00,94.18
2504.00,94.17
2503.00,94.15
2502.00,94.15
2501.00,94.14
2500.00,94.13
2499.00,94.12
2498.00,94.11
2497.00,94.11
2496.00,94.11
2495.00,94.13
2494.00,94.15
2493.00,94.17
2492.00,94.17
2491.00,94.16
2490.00,94.15
2489.00,94.15
2488.00,94.16
2487.00,94.17
2486.00,94.17
2485.00,94.17
2484.00,94.16
2483.00,94.15
2482.00,94.15
2481.00,94.17
2480.00,94.18
2479.00,94.18
2478.00,94.17
2477.00,94.16
2476.00,94.15
2475.00,94.15
2474.00,94.16
2473.00,94.17
2472.00,94.16
2471.00,94.13
2470.00,94.10
2469.00,94.07
2468.00,94.05
2467.00,94.06
2466.00,94.07
2465.00,94.09
