Created as New Dataset,186 Acordis Fibres
cm-1,%T
2772.00,91.35
2771.00,91.35
2770.00,91.36
2769.00,91.37
2768.00,91.37
2767.00,91.37
2766.00,91.38
2765.00,91.39
2764.00,91.41
2763.00,91.42
2762.00,91.43
2761.00,91.45
2760.00,91.45
2759.00,91.46
2758.00,91.47
2757.00,91.49
2756.00,91.51
2755.00,91.53
2754.00,91.54
2753.00,91.54
2752.00,91.53
2751.00,91.52
2750.00,91.52
2749.00,91.52
2748.00,91.53
2747.00,91.53
2746.00,91.54
2745.00,91.55
2744.00,91.55
2743.00,91.56
2742.00,91.57
2741.00,91.58
2740.00,91.59
2739.00,91.59
2738.00,91.60
2737.00,91.60
2736.00,91.59
2735.00,91.58
2734.00,91.58
2733.00,91.58
2732.00,91.59
2731.00,91.59
2730.00,91.59
2729.00,91.60
2728.00,91.62
2727.00,91.63
2726.00,91.64
2725.00,91.64
2724.00,91.64
2723.00,91.64
2722.00,91.64
2721.00,91.64
2720.00,91.65
2719.00,91.67
2718.00,91.68
2717.00,91.68
2716.00,91.67
2715.00,91.66
2714.00,91.66
2713.00,91.67
2712.00,91.68
2711.00,91.70
2710.00,91.71
2709.00,91.72
2708.00,91.73
2707.00,91.73
2706.00,91.73
2705.00,91.74
2704.00,91.74
2703.00,91.75
2702.00,91.76
2701.00,91.78
2700.00,91.80
2699.00,91.81
2698.00,91.82
2697.00,91.82
2696.00,91.82
2695.00,91.82
2694.00,91.82
2693.00,91.82
2692.00,91.81
2691.00,91.81
2690.00,91.82
2689.00,91.84
2688.00,91.85
2687.00,91.85
2686.00,91.85
2685.00,91.85
2684.00,91.86
2683.00,91.87
2682.00,91.88
2681.00,91.90
2680.00,91.92
2679.00,91.94
2678.00,91.95
2677.00,91.95
2676.00,91.95
2675.00,91.94
2674.00,91.94
2673.00,91.95
2672.00,91.96
2671.00,91.97
2670.00,91.98
2669.00,92.00
2668.00,92.02
2667.00,92.03
2666.00,92.05
2665.00,92.06
2664.00,92.06
2663.00,92.06
2662.00,92.04
2661.00,92.03
2660.00,92.01
2659.00,92.01
2658.00,92.01
2657.00,92.01
2656.00,92.01
2655.00,92.01
2654.00,92.00
2653.00,92.00
2652.00,91.99
2651.00,92.00
2650.00,91.99
2649.00,91.99
2648.00,91.98
2647.00,91.98
2646.00,91.99
2645.00,91.99
2644.00,91.99
2643.00,91.99
2642.00,91.98
2641.00,91.97
2640.00,91.96
2639.00,91.96
2638.00,91.96
2637.00,91.96
2636.00,91.95
2635.00,91.94
2634.00,91.94
2633.00,91.95
2632.00,91.95
2631.00,91.96
2630.00,91.95
2629.00,91.94
2628.00,91.93
2627.00,91.93
2626.00,91.93
2625.00,91.93
2624.00,91.92
2623.00,91.91
2622.00,91.90
2621.00,91.91
2620.00,91.92
2619.00,91.94
2618.00,91.94
2617.00,91.94
2616.00,91.93
2615.00,91.93
2614.00,91.94
2613.00,91.96
2612.00,91.97
2611.00,91.98
2610.00,91.97
2609.00,91.96
2608.00,91.95
2607.00,91.95
2606.00,91.97
2605.00,91.98
2604.00,91.99
2603.00,92.00
2602.00,92.00
2601.00,91.99
2600.00,91.98
2599.00,91.97
2598.00,91.97
2597.00,91.96
2596.00,91.95
2595.00,91.93
2594.00,91.91
2593.00,91.90
2592.00,91.91
2591.00,91.93
2590.00,91.94
2589.00,91.94
2588.00,91.94
2587.00,91.94
2586.00,91.94
2585.00,91.93
2584.00,91.91
2583.00,91.91
2582.00,91.92
2581.00,91.95
