Created as New Dataset,14.3 Red Wool sheep crepe
cm-1,%T
2962.00,89.53
2961.00,89.52
2960.00,89.52
2959.00,89.53
2958.00,89.55
2957.00,89.59
2956.00,89.63
2955.00,89.66
2954.00,89.69
2953.00,89.70
2952.00,89.72
2951.00,89.75
2950.00,89.78
2949.00,89.82
2948.00,89.86
2947.00,89.88
2946.00,89.88
2945.00,89.86
2944.00,89.83
2943.00,89.82
2942.00,89.81
2941.00,89.81
2940.00,89.78
2939.00,89.74
2938.00,89.69
2937.00,89.64
2936.00,89.59
2935.00,89.57
2934.00,89.57
2933.00,89.59
2932.00,89.61
2931.00,89.63
2930.00,89.63
2929.00,89.63
2928.00,89.64
2927.00,89.65
2926.00,89.67
2925.00,89.70
2924.00,89.75
2923.00,89.80
2922.00,89.86
2921.00,89.92
2920.00,89.99
2919.00,90.05
2918.00,90.12
2917.00,90.18
2916.00,90.24
2915.00,90.30
2914.00,90.35
2913.00,90.40
2912.00,90.46
2911.00,90.53
2910.00,90.61
2909.00,90.69
2908.00,90.76
2907.00,90.82
2906.00,90.86
2905.00,90.90
2904.00,90.95
2903.00,90.99
2902.00,91.03
2901.00,91.06
2900.00,91.09
2899.00,91.12
2898.00,91.14
2897.00,91.16
2896.00,91.18
2895.00,91.20
2894.00,91.22
2893.00,91.25
2892.00,91.26
2891.00,91.26
2890.00,91.26
2889.00,91.25
2888.00,91.25
2887.00,91.25
2886.00,91.26
2885.00,91.26
2884.00,91.26
2883.00,91.25
2882.00,91.24
2881.00,91.21
2880.00,91.19
2879.00,91.16
2878.00,91.15
2877.00,91.14
2876.00,91.12
2875.00,91.12
2874.00,91.13
2873.00,91.15
2872.00,91.18
2871.00,91.21
2870.00,91.26
2869.00,91.32
2868.00,91.39
2867.00,91.46
2866.00,91.52
2865.00,91.58
2864.00,91.64
2863.00,91.70
2862.00,91.76
2861.00,91.79
2860.00,91.81
2859.00,91.82
2858.00,91.83
2857.00,91.85
2856.00,91.88
2855.00,91.90
2854.00,91.92
2853.00,91.94
2852.00,91.96
2851.00,92.01
2850.00,92.07
2849.00,92.14
2848.00,92.22
2847.00,92.28
2846.00,92.33
2845.00,92.36
2844.00,92.40
2843.00,92.45
2842.00,92.50
2841.00,92.55
2840.00,92.59
2839.00,92.62
2838.00,92.65
2837.00,92.67
2836.00,92.69
2835.00,92.72
2834.00,92.75
2833.00,92.77
2832.00,92.80
2831.00,92.82
2830.00,92.83
2829.00,92.84
2828.00,92.85
2827.00,92.87
2826.00,92.88
2825.00,92.91
2824.00,92.93
2823.00,92.95
2822.00,92.97
2821.00,92.99
2820.00,93.00
2819.00,93.01
2818.00,93.01
2817.00,93.01
2816.00,93.02
2815.00,93.04
2814.00,93.05
2813.00,93.05
2812.00,93.05
2811.00,93.05
2810.00,93.06
2809.00,93.07
2808.00,93.08
2807.00,93.08
2806.00,93.10
2805.00,93.12
2804.00,93.16
2803.00,93.21
2802.00,93.24
2801.00,93.26
2800.00,93.27
2799.00,93.27
2798.00,93.27
2797.00,93.27
2796.00,93.29
2795.00,93.32
2794.00,93.35
2793.00,93.37
2792.00,93.38
2791.00,93.38
2790.00,93.39
2789.00,93.39
2788.00,93.40
2787.00,93.40
2786.00,93.41
2785.00,93.43
2784.00,93.45
2783.00,93.47
2782.00,93.48
2781.00,93.50
2780.00,93.51
2779.00,93.52
2778.00,93.53
2777.00,93.54
2776.00,93.55
2775.00,93.56
2774.00,93.57
2773.00,93.59
2772.00,93.60
2771.00,93.60
2770.00,93.59
2769.00,93.60
2768.00,93.61
2767.00,93.62
2766.00,93.62
2765.00,93.62
2764.00,93.62
2763.00,93.64
2762.00,93.67
2761.00,93.70
2760.00,93.73
2759.00,93.74
2758.00,93.74
2757.00,93.74
2756.00,93.74
2755.00,93.75
2754.00,93.76
2753.00,93.76
2752.00,93.76
2751.00,93.76
2750.00,93.76
2749.00,93.78
2748.00,93.81
2747.00,93.83
2746.00,93.84
2745.00,93.84
2744.00,93.84
2743.00,93.84
2742.00,93.85
2741.00,93.86
2740.00,93.88
2739.00,93.88
2738.00,93.89
2737.00,93.91
2736.00,93.92
2735.00,93.94
2734.00,93.95
2733.00,93.96
2732.00,93.96
2731.00,93.96
2730.00,93.96
2729.00,93.97
2728.00,93.98
2727.00,93.99
2726.00,94.00
2725.00,94.01
2724.00,94.02
2723.00,94.04
2722.00,94.06
2721.00,94.07
2720.00,94.08
2719.00,94.08
2718.00,94.08
2717.00,94.09
2716.00,94.10
2715.00,94.10
2714.00,94.10
2713.00,94.11
2712.00,94.12
2711.00,94.14
2710.00,94.15
2709.00,94.15
2708.00,94.14
2707.00,94.12
2706.00,94.12
2705.00,94.13
2704.00,94.14
2703.00,94.16
2702.00,94.18
2701.00,94.19
2700.00,94.20
2699.00,94.21
2698.00,94.21
2697.00,94.22
2696.00,94.22
2695.00,94.22
2694.00,94.23
2693.00,94.23
2692.00,94.23
2691.00,94.24
2690.00,94.25
2689.00,94.27
2688.00,94.29
2687.00,94.29
2686.00,94.29
2685.00,94.28
2684.00,94.29
2683.00,94.30
2682.00,94.32
2681.00,94.33
2680.00,94.34
2679.00,94.33
2678.00,94.32
2677.00,94.31
2676.00,94.31
2675.00,94.31
2674.00,94.32
2673.00,94.32
2672.00,94.34
2671.00,94.35
2670.00,94.37
2669.00,94.37
2668.00,94.36
2667.00,94.35
2666.00,94.34
2665.00,94.34
2664.00,94.34
2663.00,94.34
2662.00,94.34
2661.00,94.35
2660.00,94.35
2659.00,94.35
2658.00,94.35
2657.00,94.35
2656.00,94.35
2655.00,94.34
2654.00,94.32
2653.00,94.30
2652.00,94.29
2651.00,94.29
2650.00,94.29
2649.00,94.29
2648.00,94.28
2647.00,94.28
2646.00,94.27
2645.00,94.27
2644.00,94.27
2643.00,94.26
2642.00,94.25
2641.00,94.23
2640.00,94.23
2639.00,94.23
2638.00,94.24
2637.00,94.25
2636.00,94.25
2635.00,94.26
2634.00,94.25
2633.00,94.25
2632.00,94.24
2631.00,94.23
2630.00,94.22
2629.00,94.21
2628.00,94.20
2627.00,94.19
2626.00,94.18
2625.00,94.17
2624.00,94.17
2623.00,94.18
2622.00,94.19
2621.00,94.20
2620.00,94.20
2619.00,94.20
2618.00,94.20
2617.00,94.20
2616.00,94.19
2615.00,94.18
2614.00,94.18
2613.00,94.19
2612.00,94.20
2611.00,94.19
2610.00,94.17
2609.00,94.17
2608.00,94.18
2607.00,94.20
2606.00,94.22
2605.00,94.23
2604.00,94.22
2603.00,94.20
2602.00,94.20
2601.00,94.20
2600.00,94.21
2599.00,94.21
2598.00,94.20
2597.00,94.19
2596.00,94.19
2595.00,94.20
2594.00,94.22
2593.00,94.24
2592.00,94.24
2591.00,94.23
2590.00,94.22
2589.00,94.22
2588.00,94.22
2587.00,94.24
2586.00,94.25
2585.00,94.25
2584.00,94.24
2583.00,94.22
2582.00,94.20
2581.00,94.19
2580.00,94.19
2579.00,94.20
2578.00,94.20
2577.00,94.21
2576.00,94.21
2575.00,94.21
2574.00,94.20
2573.00,94.19
2572.00,94.20
2571.00,94.21
2570.00,94.24
2569.00,94.25
2568.00,94.26
2567.00,94.26
2566.00,94.24
2565.00,94.22
2564.00,94.22
2563.00,94.22
2562.00,94.22
2561.00,94.22
2560.00,94.22
2559.00,94.23
2558.00,94.24
2557.00,94.23
2556.00,94.22
2555.00,94.20
2554.00,94.20
2553.00,94.23
2552.00,94.26
2551.00,94.28
2550.00,94.28
2549.00,94.26
2548.00,94.25
2547.00,94.24
2546.00,94.24
2545.00,94.23
2544.00,94.24
2543.00,94.27
2542.00,94.31
2541.00,94.34
2540.00,94.35
2539.00,94.36
2538.00,94.35
2537.00,94.34
2536.00,94.33
2535.00,94.32
2534.00,94.32
2533.00,94.32
2532.00,94.33
2531.00,94.33
2530.00,94.33
2529.00,94.32
2528.00,94.31
2527.00,94.30
2526.00,94.29
2525.00,94.28
2524.00,94.28
2523.00,94.29
2522.00,94.32
2521.00,94.34
2520.00,94.35
2519.00,94.36
2518.00,94.37
2517.00,94.36
2516.00,94.34
2515.00,94.32
2514.00,94.30
2513.00,94.30
2512.00,94.31
2511.00,94.32
2510.00,94.33
2509.00,94.35
2508.00,94.36
2507.00,94.36
2506.00,94.34
2505.00,94.32
2504.00,94.31
2503.00,94.32
2502.00,94.33
2501.00,94.33
2500.00,94.34
2499.00,94.35
2498.00,94.36
2497.00,94.35
2496.00,94.33
2495.00,94.31
2494.00,94.30
2493.00,94.33
2492.00,94.36
2491.00,94.39
2490.00,94.39
2489.00,94.39
2488.00,94.39
2487.00,94.41
2486.00,94.43
2485.00,94.44
2484.00,94.45
2483.00,94.44
2482.00,94.43
2481.00,94.42
2480.00,94.43
2479.00,94.44
2478.00,94.45
2477.00,94.46
2476.00,94.45
2475.00,94.45
2474.00,94.46
2473.00,94.47
2472.00,94.47
2471.00,94.47
2470.00,94.46
2469.00,94.46
2468.00,94.48
