Created as New Dataset,12.2 Red Icelandic sheep
cm-1,%T
2678.00,99.63
2677.00,99.62
2676.00,99.63
2675.00,99.64
2674.00,99.66
2673.00,99.66
2672.00,99.65
2671.00,99.65
2670.00,99.64
2669.00,99.65
2668.00,99.66
2667.00,99.67
2666.00,99.67
2665.00,99.67
2664.00,99.67
2663.00,99.68
2662.00,99.68
2661.00,99.68
2660.00,99.68
2659.00,99.68
2658.00,99.67
2657.00,99.67
2656.00,99.67
2655.00,99.67
2654.00,99.67
2653.00,99.69
2652.00,99.71
2651.00,99.72
2650.00,99.73
2649.00,99.72
2648.00,99.72
2647.00,99.71
2646.00,99.70
2645.00,99.70
2644.00,99.69
2643.00,99.69
2642.00,99.69
2641.00,99.70
2640.00,99.70
2639.00,99.70
2638.00,99.71
2637.00,99.71
2636.00,99.72
2635.00,99.73
2634.00,99.73
2633.00,99.72
2632.00,99.70
2631.00,99.70
2630.00,99.70
2629.00,99.71
2628.00,99.71
2627.00,99.71
2626.00,99.70
2625.00,99.69
2624.00,99.69
2623.00,99.70
2622.00,99.72
2621.00,99.74
2620.00,99.75
2619.00,99.75
2618.00,99.75
2617.00,99.74
2616.00,99.74
2615.00,99.75
2614.00,99.77
2613.00,99.80
2612.00,99.83
2611.00,99.84
2610.00,99.83
2609.00,99.82
2608.00,99.79
2607.00,99.78
2606.00,99.77
2605.00,99.78
2604.00,99.80
2603.00,99.83
2602.00,99.84
2601.00,99.83
2600.00,99.80
2599.00,99.79
2598.00,99.79
2597.00,99.80
2596.00,99.80
2595.00,99.81
2594.00,99.83
2593.00,99.84
2592.00,99.87
2591.00,99.89
2590.00,99.91
2589.00,99.92
2588.00,99.92
2587.00,99.91
2586.00,99.91
2585.00,99.90
2584.00,99.89
2583.00,99.90
2582.00,99.90
2581.00,99.90
2580.00,99.90
2579.00,99.89
2578.00,99.88
2577.00,99.87
2576.00,99.88
2575.00,99.91
2574.00,99.93
2573.00,99.96
2572.00,99.97
2571.00,99.96
2570.00,99.94
2569.00,99.92
2568.00,99.91
2567.00,99.92
2566.00,99.95
2565.00,99.97
2564.00,99.96
2563.00,99.96
2562.00,99.95
2561.00,99.95
2560.00,99.96
2559.00,99.95
2558.00,99.95
2557.00,99.95
2556.00,99.95
2555.00,99.95
2554.00,99.95
2553.00,99.94
2552.00,99.93
2551.00,99.93
2550.00,99.92
2549.00,99.93
2548.00,99.93
2547.00,99.93
2546.00,99.93
2545.00,99.93
2544.00,99.93
2543.00,99.93
2542.00,99.94
2541.00,99.94
2540.00,99.94
2539.00,99.94
2538.00,99.94
2537.00,99.93
2536.00,99.94
2535.00,99.95
2534.00,99.96
2533.00,99.98
2532.00,99.99
2531.00,99.99
2530.00,99.98
2529.00,99.97
2528.00,99.97
2527.00,99.98
2526.00,100.00
2525.00,100.00
2524.00,100.01
2523.00,100.02
2522.00,100.04
2521.00,100.08
2520.00,100.09
2519.00,100.08
2518.00,100.05
2517.00,100.02
2516.00,100.00
2515.00,100.00
2514.00,100.00
2513.00,99.99
2512.00,99.97
2511.00,99.95
2510.00,99.96
2509.00,99.98
2508.00,100.01
2507.00,100.03
2506.00,100.02
2505.00,100.00
2504.00,99.98
2503.00,99.98
2502.00,99.99
2501.00,100.01
2500.00,100.03
2499.00,100.04
2498.00,100.04
2497.00,100.03
2496.00,100.03
2495.00,100.04
2494.00,100.06
2493.00,100.06
2492.00,100.05
2491.00,100.04
2490.00,100.04
2489.00,100.06
2488.00,100.09
2487.00,100.11
2486.00,100.12
2485.00,100.10
2484.00,100.08
2483.00,100.06
2482.00,100.05
2481.00,100.04
2480.00,100.04
2479.00,100.05
2478.00,100.06
2477.00,100.07
2476.00,100.06
2475.00,100.04
2474.00,100.03
2473.00,100.03
2472.00,100.05
2471.00,100.07
2470.00,100.08
2469.00,100.08
2468.00,100.06
2467.00,100.04
