Created as New Dataset,59 Modacrylic Hoechst Dolan 88 
cm-1,%T
2617.00,97.82
2616.00,97.82
2615.00,97.83
2614.00,97.84
2613.00,97.84
2612.00,97.84
2611.00,97.82
2610.00,97.81
2609.00,97.80
2608.00,97.78
2607.00,97.76
2606.00,97.75
2605.00,97.76
2604.00,97.79
2603.00,97.81
2602.00,97.83
2601.00,97.83
2600.00,97.81
2599.00,97.78
2598.00,97.75
2597.00,97.73
2596.00,97.73
2595.00,97.74
2594.00,97.73
2593.00,97.72
2592.00,97.72
2591.00,97.71
2590.00,97.71
2589.00,97.69
2588.00,97.66
2587.00,97.63
2586.00,97.62
2585.00,97.61
2584.00,97.61
2583.00,97.62
2582.00,97.64
2581.00,97.66
2580.00,97.68
2579.00,97.71
2578.00,97.72
2577.00,97.72
2576.00,97.71
2575.00,97.71
2574.00,97.71
2573.00,97.73
2572.00,97.73
2571.00,97.72
2570.00,97.70
2569.00,97.67
2568.00,97.66
2567.00,97.65
2566.00,97.66
2565.00,97.67
2564.00,97.70
2563.00,97.72
2562.00,97.72
2561.00,97.70
2560.00,97.68
2559.00,97.66
2558.00,97.65
2557.00,97.64
2556.00,97.63
2555.00,97.64
2554.00,97.67
2553.00,97.69
2552.00,97.69
2551.00,97.66
2550.00,97.62
2549.00,97.59
2548.00,97.57
2547.00,97.58
2546.00,97.60
2545.00,97.61
2544.00,97.62
2543.00,97.61
2542.00,97.60
2541.00,97.58
2540.00,97.56
2539.00,97.55
2538.00,97.56
2537.00,97.57
2536.00,97.58
2535.00,97.59
2534.00,97.59
2533.00,97.60
2532.00,97.59
2531.00,97.59
2530.00,97.58
2529.00,97.58
2528.00,97.60
2527.00,97.63
2526.00,97.65
2525.00,97.66
2524.00,97.64
2523.00,97.61
2522.00,97.60
2521.00,97.60
2520.00,97.62
2519.00,97.62
2518.00,97.62
2517.00,97.61
2516.00,97.61
2515.00,97.64
2514.00,97.66
2513.00,97.66
2512.00,97.66
2511.00,97.66
2510.00,97.66
2509.00,97.66
2508.00,97.65
2507.00,97.65
2506.00,97.66
2505.00,97.66
2504.00,97.66
2503.00,97.66
2502.00,97.66
2501.00,97.66
2500.00,97.66
2499.00,97.66
2498.00,97.65
2497.00,97.63
2496.00,97.61
2495.00,97.60
2494.00,97.59
2493.00,97.59
2492.00,97.59
2491.00,97.60
2490.00,97.62
2489.00,97.64
2488.00,97.65
2487.00,97.66
2486.00,97.66
2485.00,97.66
2484.00,97.66
2483.00,97.66
2482.00,97.66
2481.00,97.63
2480.00,97.60
2479.00,97.57
2478.00,97.56
2477.00,97.57
2476.00,97.58
2475.00,97.60
2474.00,97.60
2473.00,97.61
2472.00,97.62
2471.00,97.65
