Created as New Dataset,8. Acrylic Bayed Dyed
cm-1,%T
2517.00,96.11
2516.00,96.11
2515.00,96.11
2514.00,96.11
2513.00,96.12
2512.00,96.14
2511.00,96.16
2510.00,96.17
2509.00,96.17
2508.00,96.17
2507.00,96.17
2506.00,96.19
2505.00,96.21
2504.00,96.21
2503.00,96.19
2502.00,96.14
2501.00,96.10
2500.00,96.08
2499.00,96.10
2498.00,96.13
2497.00,96.15
2496.00,96.15
2495.00,96.14
2494.00,96.13
2493.00,96.13
2492.00,96.13
2491.00,96.12
2490.00,96.09
2489.00,96.08
2488.00,96.08
2487.00,96.10
2486.00,96.13
2485.00,96.16
2484.00,96.18
2483.00,96.19
2482.00,96.19
2481.00,96.19
2480.00,96.18
2479.00,96.17
2478.00,96.16
2477.00,96.16
2476.00,96.16
2475.00,96.16
2474.00,96.16
2473.00,96.16
2472.00,96.17
2471.00,96.18
2470.00,96.19
2469.00,96.18
2468.00,96.17
