Created as New Dataset,83. Allied Signal Fibers
cm-1,%T
2803.00,95.37
2802.00,95.39
2801.00,95.42
2800.00,95.45
2799.00,95.48
2798.00,95.52
2797.00,95.54
2796.00,95.55
2795.00,95.54
2794.00,95.54
2793.00,95.55
2792.00,95.56
2791.00,95.59
2790.00,95.62
2789.00,95.65
2788.00,95.67
2787.00,95.68
2786.00,95.68
2785.00,95.69
2784.00,95.71
2783.00,95.73
2782.00,95.74
2781.00,95.75
2780.00,95.75
2779.00,95.77
2778.00,95.79
2777.00,95.82
2776.00,95.84
2775.00,95.87
2774.00,95.89
2773.00,95.92
2772.00,95.93
2771.00,95.94
2770.00,95.94
2769.00,95.95
2768.00,95.95
2767.00,95.96
2766.00,95.96
2765.00,95.96
2764.00,95.97
2763.00,95.99
2762.00,96.01
2761.00,96.02
2760.00,96.02
2759.00,96.02
2758.00,96.02
2757.00,96.02
2756.00,96.02
2755.00,96.02
2754.00,96.02
2753.00,96.02
2752.00,96.03
2751.00,96.03
2750.00,96.03
2749.00,96.04
2748.00,96.04
2747.00,96.06
2746.00,96.06
2745.00,96.06
2744.00,96.06
2743.00,96.07
2742.00,96.08
2741.00,96.08
2740.00,96.08
2739.00,96.08
2738.00,96.09
2737.00,96.10
2736.00,96.11
2735.00,96.12
2734.00,96.14
2733.00,96.15
2732.00,96.17
2731.00,96.19
2730.00,96.20
2729.00,96.21
2728.00,96.22
2727.00,96.23
2726.00,96.24
2725.00,96.25
2724.00,96.26
2723.00,96.27
2722.00,96.27
2721.00,96.27
2720.00,96.27
2719.00,96.28
2718.00,96.30
2717.00,96.32
2716.00,96.35
2715.00,96.38
2714.00,96.39
2713.00,96.39
2712.00,96.39
2711.00,96.39
2710.00,96.40
2709.00,96.41
2708.00,96.42
2707.00,96.42
2706.00,96.42
2705.00,96.43
2704.00,96.43
2703.00,96.43
2702.00,96.43
2701.00,96.42
2700.00,96.41
2699.00,96.40
2698.00,96.40
2697.00,96.40
2696.00,96.41
2695.00,96.43
2694.00,96.43
2693.00,96.44
2692.00,96.44
2691.00,96.45
2690.00,96.45
2689.00,96.45
2688.00,96.45
2687.00,96.46
2686.00,96.47
2685.00,96.47
2684.00,96.47
2683.00,96.47
2682.00,96.47
2681.00,96.47
2680.00,96.48
2679.00,96.48
2678.00,96.48
2677.00,96.48
2676.00,96.49
2675.00,96.51
2674.00,96.54
2673.00,96.56
2672.00,96.58
2671.00,96.58
2670.00,96.58
2669.00,96.57
2668.00,96.56
2667.00,96.54
2666.00,96.53
2665.00,96.52
2664.00,96.52
2663.00,96.52
2662.00,96.51
2661.00,96.50
2660.00,96.50
2659.00,96.49
2658.00,96.48
2657.00,96.47
2656.00,96.46
2655.00,96.47
2654.00,96.48
2653.00,96.47
2652.00,96.45
2651.00,96.42
2650.00,96.41
2649.00,96.41
2648.00,96.42
2647.00,96.43
2646.00,96.43
2645.00,96.42
2644.00,96.41
2643.00,96.40
2642.00,96.39
2641.00,96.38
2640.00,96.37
2639.00,96.37
2638.00,96.36
2637.00,96.36
2636.00,96.35
2635.00,96.33
2634.00,96.32
2633.00,96.33
2632.00,96.34
2631.00,96.35
2630.00,96.34
2629.00,96.33
2628.00,96.32
2627.00,96.31
2626.00,96.30
2625.00,96.30
2624.00,96.30
2623.00,96.29
2622.00,96.28
2621.00,96.27
2620.00,96.28
2619.00,96.29
2618.00,96.29
2617.00,96.28
2616.00,96.28
2615.00,96.28
2614.00,96.28
2613.00,96.28
2612.00,96.27
2611.00,96.25
2610.00,96.23
2609.00,96.22
2608.00,96.21
2607.00,96.21
2606.00,96.23
2605.00,96.25
2604.00,96.26
2603.00,96.26
2602.00,96.24
2601.00,96.21
2600.00,96.18
2599.00,96.18
2598.00,96.18
2597.00,96.19
2596.00,96.20
2595.00,96.21
2594.00,96.21
2593.00,96.20
2592.00,96.18
2591.00,96.16
2590.00,96.14
2589.00,96.13
2588.00,96.14
2587.00,96.15
2586.00,96.16
2585.00,96.16
2584.00,96.14
2583.00,96.11
2582.00,96.09
2581.00,96.08
2580.00,96.08
2579.00,96.09
2578.00,96.10
2577.00,96.11
2576.00,96.12
2575.00,96.12
2574.00,96.12
2573.00,96.13
2572.00,96.13
2571.00,96.13
2570.00,96.12
2569.00,96.11
2568.00,96.12
2567.00,96.12
2566.00,96.13
2565.00,96.12
2564.00,96.11
2563.00,96.10
2562.00,96.10
2561.00,96.09
2560.00,96.08
2559.00,96.07
2558.00,96.07
2557.00,96.08
2556.00,96.09
2555.00,96.11
2554.00,96.12
2553.00,96.13
2552.00,96.14
2551.00,96.15
2550.00,96.14
2549.00,96.12
2548.00,96.11
2547.00,96.10
2546.00,96.10
2545.00,96.12
2544.00,96.13
2543.00,96.13
2542.00,96.12
2541.00,96.10
2540.00,96.08
2539.00,96.06
2538.00,96.06
2537.00,96.06
2536.00,96.07
2535.00,96.09
2534.00,96.10
2533.00,96.12
2532.00,96.13
2531.00,96.13
2530.00,96.13
2529.00,96.14
2528.00,96.15
2527.00,96.17
2526.00,96.18
2525.00,96.17
2524.00,96.15
2523.00,96.13
2522.00,96.12
2521.00,96.12
2520.00,96.14
2519.00,96.16
2518.00,96.18
2517.00,96.18
2516.00,96.18
2515.00,96.18
2514.00,96.18
2513.00,96.19
2512.00,96.21
2511.00,96.23
2510.00,96.23
2509.00,96.22
2508.00,96.22
2507.00,96.23
2506.00,96.24
2505.00,96.23
2504.00,96.22
2503.00,96.22
2502.00,96.23
2501.00,96.24
2500.00,96.25
2499.00,96.25
2498.00,96.25
2497.00,96.24
2496.00,96.23
2495.00,96.23
2494.00,96.22
2493.00,96.22
2492.00,96.24
2491.00,96.26
2490.00,96.28
2489.00,96.27
2488.00,96.24
2487.00,96.22
2486.00,96.21
2485.00,96.22
2484.00,96.23
2483.00,96.24
2482.00,96.25
2481.00,96.24
2480.00,96.22
2479.00,96.20
2478.00,96.19
2477.00,96.20
2476.00,96.23
2475.00,96.25
2474.00,96.27
2473.00,96.29
2472.00,96.29
2471.00,96.28
2470.00,96.27
2469.00,96.25
2468.00,96.24
2467.00,96.23
2466.00,96.23
