Created as New Dataset,2 Celanese
cm-1,%T
2779.00,96.75
2778.00,96.77
2777.00,96.79
2776.00,96.80
2775.00,96.81
2774.00,96.81
2773.00,96.82
2772.00,96.82
2771.00,96.83
2770.00,96.83
2769.00,96.83
2768.00,96.82
2767.00,96.82
2766.00,96.82
2765.00,96.83
2764.00,96.83
2763.00,96.83
2762.00,96.82
2761.00,96.82
2760.00,96.82
2759.00,96.81
2758.00,96.80
2757.00,96.80
2756.00,96.81
2755.00,96.80
2754.00,96.80
2753.00,96.80
2752.00,96.80
2751.00,96.80
2750.00,96.80
2749.00,96.80
2748.00,96.80
2747.00,96.80
2746.00,96.80
2745.00,96.78
2744.00,96.76
2743.00,96.75
2742.00,96.75
2741.00,96.76
2740.00,96.76
2739.00,96.77
2738.00,96.77
2737.00,96.77
2736.00,96.77
2735.00,96.78
2734.00,96.77
2733.00,96.77
2732.00,96.76
2731.00,96.77
2730.00,96.78
2729.00,96.79
2728.00,96.78
2727.00,96.77
2726.00,96.77
2725.00,96.78
2724.00,96.79
2723.00,96.80
2722.00,96.80
2721.00,96.79
2720.00,96.79
2719.00,96.80
2718.00,96.81
2717.00,96.82
2716.00,96.83
2715.00,96.83
2714.00,96.82
2713.00,96.81
2712.00,96.81
2711.00,96.81
2710.00,96.82
2709.00,96.83
2708.00,96.83
2707.00,96.83
2706.00,96.83
2705.00,96.83
2704.00,96.83
2703.00,96.84
2702.00,96.85
2701.00,96.85
2700.00,96.85
2699.00,96.85
2698.00,96.86
2697.00,96.86
2696.00,96.87
2695.00,96.86
2694.00,96.85
2693.00,96.85
2692.00,96.84
2691.00,96.84
2690.00,96.85
2689.00,96.85
2688.00,96.86
2687.00,96.86
2686.00,96.85
2685.00,96.85
2684.00,96.85
2683.00,96.86
2682.00,96.87
2681.00,96.88
2680.00,96.88
2679.00,96.86
2678.00,96.85
2677.00,96.85
2676.00,96.85
2675.00,96.87
2674.00,96.87
2673.00,96.87
2672.00,96.87
2671.00,96.87
2670.00,96.87
2669.00,96.87
2668.00,96.87
2667.00,96.87
2666.00,96.88
2665.00,96.87
2664.00,96.86
2663.00,96.83
2662.00,96.80
2661.00,96.78
2660.00,96.77
2659.00,96.76
2658.00,96.75
2657.00,96.75
2656.00,96.75
2655.00,96.76
2654.00,96.76
2653.00,96.76
2652.00,96.75
2651.00,96.74
2650.00,96.72
2649.00,96.70
2648.00,96.68
2647.00,96.66
2646.00,96.66
2645.00,96.66
2644.00,96.67
2643.00,96.66
2642.00,96.65
2641.00,96.62
2640.00,96.60
2639.00,96.58
2638.00,96.56
2637.00,96.55
2636.00,96.54
2635.00,96.53
2634.00,96.53
2633.00,96.54
2632.00,96.55
2631.00,96.55
2630.00,96.53
