Created as New Dataset,12.4 Red Wool Merino sheep and rayon
cm-1,%T
2578.00,96.37
2577.00,96.40
2576.00,96.41
2575.00,96.41
2574.00,96.39
2573.00,96.37
2572.00,96.34
2571.00,96.33
2570.00,96.34
2569.00,96.37
2568.00,96.39
2567.00,96.40
2566.00,96.41
2565.00,96.42
2564.00,96.43
2563.00,96.44
2562.00,96.45
2561.00,96.45
2560.00,96.45
2559.00,96.45
2558.00,96.44
2557.00,96.42
2556.00,96.40
2555.00,96.39
2554.00,96.39
2553.00,96.39
2552.00,96.40
2551.00,96.42
2550.00,96.45
2549.00,96.47
2548.00,96.48
2547.00,96.47
2546.00,96.45
2545.00,96.43
2544.00,96.42
2543.00,96.40
2542.00,96.39
2541.00,96.38
2540.00,96.37
2539.00,96.36
2538.00,96.35
2537.00,96.34
2536.00,96.32
2535.00,96.33
2534.00,96.36
2533.00,96.40
2532.00,96.42
2531.00,96.43
2530.00,96.42
2529.00,96.41
2528.00,96.40
2527.00,96.40
2526.00,96.41
2525.00,96.41
2524.00,96.41
2523.00,96.42
2522.00,96.43
2521.00,96.45
2520.00,96.45
2519.00,96.44
2518.00,96.44
2517.00,96.44
2516.00,96.44
2515.00,96.44
2514.00,96.45
2513.00,96.46
2512.00,96.48
2511.00,96.50
2510.00,96.50
2509.00,96.50
2508.00,96.49
2507.00,96.49
2506.00,96.48
2505.00,96.46
2504.00,96.43
2503.00,96.41
2502.00,96.40
2501.00,96.40
2500.00,96.42
2499.00,96.46
2498.00,96.50
2497.00,96.52
2496.00,96.54
2495.00,96.54
2494.00,96.54
2493.00,96.54
2492.00,96.53
2491.00,96.52
2490.00,96.51
2489.00,96.49
2488.00,96.47
2487.00,96.46
2486.00,96.45
2485.00,96.45
2484.00,96.44
2483.00,96.45
2482.00,96.47
2481.00,96.48
2480.00,96.48
2479.00,96.47
2478.00,96.47
2477.00,96.49
2476.00,96.51
2475.00,96.53
2474.00,96.53
2473.00,96.54
2472.00,96.55
2471.00,96.57
