Created as New Dataset,135 Bayer
cm-1,%T
2869.00,97.46
2868.00,97.37
2867.00,97.27
2866.00,97.18
2865.00,97.08
2864.00,96.97
2863.00,96.84
2862.00,96.71
2861.00,96.57
2860.00,96.44
2859.00,96.32
2858.00,96.22
2857.00,96.13
2856.00,96.04
2855.00,95.96
2854.00,95.90
2853.00,95.85
2852.00,95.82
2851.00,95.80
2850.00,95.79
2849.00,95.81
2848.00,95.87
2847.00,95.99
2846.00,96.17
2845.00,96.42
2844.00,96.72
2843.00,97.05
2842.00,97.38
2841.00,97.69
2840.00,97.97
2839.00,98.22
2838.00,98.42
2837.00,98.59
2836.00,98.74
2835.00,98.87
2834.00,98.97
2833.00,99.06
2832.00,99.14
2831.00,99.22
2830.00,99.29
2829.00,99.36
2828.00,99.42
2827.00,99.46
2826.00,99.50
2825.00,99.55
2824.00,99.60
2823.00,99.65
2822.00,99.68
2821.00,99.71
2820.00,99.72
2819.00,99.73
2818.00,99.73
2817.00,99.73
2816.00,99.73
2815.00,99.74
2814.00,99.76
2813.00,99.79
2812.00,99.82
2811.00,99.85
2810.00,99.88
2809.00,99.89
2808.00,99.90
2807.00,99.90
2806.00,99.91
2805.00,99.91
2804.00,99.93
2803.00,99.95
2802.00,99.97
2801.00,99.99
2800.00,99.99
2799.00,99.99
2798.00,99.99
2797.00,100.00
2796.00,100.02
2795.00,100.03
2794.00,100.04
2793.00,100.06
2792.00,100.07
2791.00,100.07
2790.00,100.08
2789.00,100.08
2788.00,100.09
2787.00,100.10
2786.00,100.11
2785.00,100.12
2784.00,100.11
2783.00,100.11
2782.00,100.12
2781.00,100.13
2780.00,100.16
2779.00,100.19
2778.00,100.21
2777.00,100.22
2776.00,100.22
2775.00,100.20
2774.00,100.19
2773.00,100.19
2772.00,100.20
2771.00,100.22
2770.00,100.22
2769.00,100.22
2768.00,100.21
2767.00,100.20
2766.00,100.19
2765.00,100.19
2764.00,100.19
2763.00,100.19
2762.00,100.19
2761.00,100.19
2760.00,100.20
2759.00,100.20
2758.00,100.20
2757.00,100.19
2756.00,100.18
2755.00,100.17
2754.00,100.16
2753.00,100.15
2752.00,100.16
2751.00,100.18
2750.00,100.20
2749.00,100.21
2748.00,100.22
2747.00,100.22
2746.00,100.22
2745.00,100.23
2744.00,100.24
2743.00,100.24
2742.00,100.24
2741.00,100.25
2740.00,100.26
2739.00,100.28
2738.00,100.29
2737.00,100.29
2736.00,100.29
2735.00,100.28
2734.00,100.26
2733.00,100.24
2732.00,100.22
2731.00,100.21
2730.00,100.21
2729.00,100.22
2728.00,100.24
2727.00,100.25
2726.00,100.26
2725.00,100.26
2724.00,100.26
2723.00,100.26
2722.00,100.26
2721.00,100.26
2720.00,100.26
2719.00,100.27
2718.00,100.28
2717.00,100.30
2716.00,100.31
2715.00,100.31
2714.00,100.31
2713.00,100.30
2712.00,100.28
2711.00,100.27
2710.00,100.26
2709.00,100.25
2708.00,100.25
2707.00,100.26
2706.00,100.27
2705.00,100.29
2704.00,100.31
2703.00,100.31
2702.00,100.31
2701.00,100.30
2700.00,100.30
2699.00,100.30
2698.00,100.30
2697.00,100.29
2696.00,100.28
2695.00,100.28
2694.00,100.28
2693.00,100.28
2692.00,100.28
2691.00,100.28
2690.00,100.28
2689.00,100.27
2688.00,100.26
2687.00,100.25
2686.00,100.24
2685.00,100.24
2684.00,100.24
2683.00,100.24
2682.00,100.24
2681.00,100.24
2680.00,100.24
2679.00,100.23
2678.00,100.22
2677.00,100.20
2676.00,100.19
2675.00,100.17
2674.00,100.17
2673.00,100.18
2672.00,100.19
2671.00,100.20
2670.00,100.21
2669.00,100.21
2668.00,100.20
2667.00,100.20
2666.00,100.20
2665.00,100.20
2664.00,100.19
2663.00,100.20
2662.00,100.20
2661.00,100.20
2660.00,100.19
2659.00,100.18
2658.00,100.18
2657.00,100.18
2656.00,100.18
2655.00,100.19
2654.00,100.19
2653.00,100.19
2652.00,100.18
2651.00,100.17
2650.00,100.16
2649.00,100.16
2648.00,100.16
2647.00,100.15
2646.00,100.15
2645.00,100.15
2644.00,100.14
2643.00,100.14
2642.00,100.15
2641.00,100.16
2640.00,100.17
2639.00,100.17
2638.00,100.17
2637.00,100.15
2636.00,100.12
2635.00,100.10
2634.00,100.08
2633.00,100.07
2632.00,100.07
2631.00,100.06
2630.00,100.05
2629.00,100.05
2628.00,100.04
2627.00,100.05
2626.00,100.05
2625.00,100.06
2624.00,100.06
2623.00,100.04
2622.00,100.03
2621.00,100.02
2620.00,100.03
2619.00,100.04
2618.00,100.05
2617.00,100.06
2616.00,100.05
2615.00,100.03
2614.00,100.02
2613.00,100.01
2612.00,100.00
2611.00,100.01
2610.00,100.03
2609.00,100.05
2608.00,100.07
2607.00,100.06
2606.00,100.05
2605.00,100.04
2604.00,100.04
2603.00,100.05
2602.00,100.05
2601.00,100.04
2600.00,100.03
2599.00,100.03
2598.00,100.02
2597.00,100.01
2596.00,100.01
2595.00,100.00
2594.00,99.99
2593.00,100.00
2592.00,100.00
2591.00,100.00
