Created as New Dataset,157. Hoechst (Red cloth)
cm-1,%T
2530.00,97.60
2529.00,97.60
2528.00,97.60
2527.00,97.60
2526.00,97.59
2525.00,97.59
2524.00,97.58
2523.00,97.57
2522.00,97.57
2521.00,97.56
2520.00,97.55
2519.00,97.54
2518.00,97.55
2517.00,97.58
2516.00,97.61
2515.00,97.63
2514.00,97.65
2513.00,97.64
2512.00,97.64
2511.00,97.64
2510.00,97.64
2509.00,97.64
2508.00,97.65
2507.00,97.65
2506.00,97.66
2505.00,97.67
2504.00,97.68
2503.00,97.69
2502.00,97.69
2501.00,97.69
2500.00,97.69
2499.00,97.69
2498.00,97.71
2497.00,97.71
2496.00,97.71
2495.00,97.69
2494.00,97.67
2493.00,97.64
2492.00,97.64
2491.00,97.64
2490.00,97.64
2489.00,97.65
2488.00,97.65
2487.00,97.66
2486.00,97.66
2485.00,97.66
2484.00,97.68
2483.00,97.69
2482.00,97.70
2481.00,97.68
2480.00,97.67
2479.00,97.68
2478.00,97.71
2477.00,97.75
2476.00,97.78
2475.00,97.77
2474.00,97.75
2473.00,97.72
2472.00,97.70
2471.00,97.70
2470.00,97.72
2469.00,97.74
2468.00,97.75
2467.00,97.75
