Created as New Dataset,Natural Brown Fiber
cm-1,%T
2621.00,95.83
2620.00,95.81
2619.00,95.79
2618.00,95.79
2617.00,95.79
2616.00,95.79
2615.00,95.80
2614.00,95.81
2613.00,95.83
2612.00,95.85
2611.00,95.85
2610.00,95.83
2609.00,95.80
2608.00,95.77
2607.00,95.78
2606.00,95.81
2605.00,95.83
2604.00,95.84
2603.00,95.83
2602.00,95.81
2601.00,95.80
2600.00,95.79
2599.00,95.78
2598.00,95.78
2597.00,95.78
2596.00,95.77
2595.00,95.75
2594.00,95.73
2593.00,95.72
2592.00,95.72
2591.00,95.73
2590.00,95.76
2589.00,95.78
2588.00,95.80
2587.00,95.79
2586.00,95.77
2585.00,95.74
2584.00,95.72
2583.00,95.72
2582.00,95.73
2581.00,95.74
2580.00,95.74
2579.00,95.74
2578.00,95.73
2577.00,95.72
2576.00,95.71
2575.00,95.71
2574.00,95.72
2573.00,95.72
2572.00,95.71
2571.00,95.70
2570.00,95.69
2569.00,95.69
2568.00,95.70
2567.00,95.71
2566.00,95.71
2565.00,95.71
2564.00,95.71
2563.00,95.72
2562.00,95.74
2561.00,95.76
2560.00,95.78
2559.00,95.78
2558.00,95.77
2557.00,95.76
2556.00,95.76
2555.00,95.76
2554.00,95.75
2553.00,95.74
2552.00,95.72
2551.00,95.70
2550.00,95.70
2549.00,95.72
2548.00,95.74
2547.00,95.77
2546.00,95.78
2545.00,95.76
2544.00,95.74
2543.00,95.74
2542.00,95.75
2541.00,95.75
2540.00,95.74
2539.00,95.73
2538.00,95.72
2537.00,95.73
2536.00,95.74
2535.00,95.76
2534.00,95.77
2533.00,95.78
2532.00,95.78
2531.00,95.77
2530.00,95.75
2529.00,95.73
2528.00,95.71
2527.00,95.69
2526.00,95.68
2525.00,95.69
2524.00,95.71
2523.00,95.72
2522.00,95.73
2521.00,95.72
2520.00,95.71
2519.00,95.71
2518.00,95.71
2517.00,95.72
2516.00,95.73
2515.00,95.73
2514.00,95.74
2513.00,95.75
2512.00,95.76
2511.00,95.77
2510.00,95.76
2509.00,95.76
2508.00,95.76
2507.00,95.76
2506.00,95.77
2505.00,95.78
2504.00,95.79
2503.00,95.82
2502.00,95.85
2501.00,95.87
2500.00,95.88
2499.00,95.87
2498.00,95.84
2497.00,95.83
2496.00,95.83
2495.00,95.85
2494.00,95.87
2493.00,95.88
2492.00,95.89
2491.00,95.91
2490.00,95.91
2489.00,95.91
2488.00,95.89
2487.00,95.89
2486.00,95.90
2485.00,95.91
2484.00,95.91
2483.00,95.91
2482.00,95.92
2481.00,95.94
2480.00,95.95
2479.00,95.95
2478.00,95.93
2477.00,95.90
2476.00,95.88
2475.00,95.88
2474.00,95.90
2473.00,95.92
2472.00,95.95
2471.00,95.96
2470.00,95.98
2469.00,96.00
2468.00,96.01
2467.00,96.01
2466.00,96.01
2465.00,96.01
