Created as New Dataset,Bio-Couture 100% Lyocell 8/2 (Red)
cm-1,%T
2524.00,96.51
2523.00,96.52
2522.00,96.53
2521.00,96.53
2520.00,96.53
2519.00,96.52
2518.00,96.52
2517.00,96.52
2516.00,96.53
2515.00,96.54
2514.00,96.56
2513.00,96.58
2512.00,96.58
2511.00,96.58
2510.00,96.58
2509.00,96.58
2508.00,96.58
2507.00,96.58
2506.00,96.59
2505.00,96.61
2504.00,96.61
2503.00,96.61
2502.00,96.60
2501.00,96.60
2500.00,96.61
2499.00,96.62
2498.00,96.62
2497.00,96.61
2496.00,96.60
2495.00,96.60
2494.00,96.59
2493.00,96.60
2492.00,96.60
2491.00,96.62
2490.00,96.65
2489.00,96.68
2488.00,96.70
2487.00,96.70
2486.00,96.69
2485.00,96.68
2484.00,96.68
2483.00,96.69
2482.00,96.69
2481.00,96.67
2480.00,96.65
2479.00,96.66
2478.00,96.68
2477.00,96.71
2476.00,96.73
2475.00,96.73
2474.00,96.73
