Created as New Dataset,16.4 Dyed (red colour)
cm-1,%T
2574.00,96.81
2573.00,96.84
2572.00,96.87
2571.00,96.89
2570.00,96.90
2569.00,96.89
2568.00,96.89
2567.00,96.89
2566.00,96.90
2565.00,96.90
2564.00,96.90
2563.00,96.89
2562.00,96.88
2561.00,96.86
2560.00,96.86
2559.00,96.87
2558.00,96.90
2557.00,96.91
2556.00,96.92
2555.00,96.91
2554.00,96.89
2553.00,96.87
2552.00,96.87
2551.00,96.89
2550.00,96.91
2549.00,96.91
2548.00,96.90
2547.00,96.87
2546.00,96.85
2545.00,96.84
2544.00,96.84
2543.00,96.84
2542.00,96.85
2541.00,96.86
2540.00,96.87
2539.00,96.89
2538.00,96.89
2537.00,96.89
2536.00,96.88
2535.00,96.87
2534.00,96.87
2533.00,96.87
2532.00,96.88
2531.00,96.89
2530.00,96.91
2529.00,96.92
2528.00,96.93
2527.00,96.92
2526.00,96.90
2525.00,96.90
2524.00,96.89
2523.00,96.88
2522.00,96.87
2521.00,96.85
2520.00,96.85
2519.00,96.86
2518.00,96.88
2517.00,96.90
2516.00,96.91
2515.00,96.90
2514.00,96.89
2513.00,96.88
2512.00,96.88
2511.00,96.88
2510.00,96.88
2509.00,96.90
2508.00,96.93
2507.00,96.94
2506.00,96.94
2505.00,96.91
2504.00,96.88
2503.00,96.86
2502.00,96.85
2501.00,96.84
2500.00,96.83
2499.00,96.82
2498.00,96.82
2497.00,96.83
2496.00,96.85
2495.00,96.87
2494.00,96.89
2493.00,96.91
2492.00,96.92
2491.00,96.93
2490.00,96.93
2489.00,96.92
2488.00,96.90
2487.00,96.89
2486.00,96.90
2485.00,96.91
2484.00,96.93
2483.00,96.94
2482.00,96.94
2481.00,96.93
2480.00,96.92
2479.00,96.92
2478.00,96.92
2477.00,96.92
2476.00,96.91
2475.00,96.91
2474.00,96.92
2473.00,96.91
2472.00,96.90
2471.00,96.89
2470.00,96.90
2469.00,96.91
2468.00,96.92
2467.00,96.93
