Created as New Dataset,133. Allied Signal Fibers
cm-1,%T
2767.00,90.90
2766.00,90.89
2765.00,90.89
2764.00,90.89
2763.00,90.88
2762.00,90.87
2761.00,90.85
2760.00,90.84
2759.00,90.84
2758.00,90.85
2757.00,90.85
2756.00,90.85
2755.00,90.84
2754.00,90.84
2753.00,90.84
2752.00,90.85
2751.00,90.85
2750.00,90.86
2749.00,90.86
2748.00,90.86
2747.00,90.87
2746.00,90.86
2745.00,90.86
2744.00,90.85
2743.00,90.85
2742.00,90.85
2741.00,90.84
2740.00,90.84
2739.00,90.82
2738.00,90.81
2737.00,90.79
2736.00,90.78
2735.00,90.77
2734.00,90.77
2733.00,90.78
2732.00,90.78
2731.00,90.78
2730.00,90.78
2729.00,90.78
2728.00,90.78
2727.00,90.78
2726.00,90.79
2725.00,90.81
2724.00,90.82
2723.00,90.83
2722.00,90.84
2721.00,90.84
2720.00,90.84
2719.00,90.85
2718.00,90.86
2717.00,90.87
2716.00,90.88
2715.00,90.89
2714.00,90.91
2713.00,90.93
2712.00,90.94
2711.00,90.94
2710.00,90.95
2709.00,90.95
2708.00,90.96
2707.00,90.97
2706.00,90.98
2705.00,90.99
2704.00,91.00
2703.00,91.00
2702.00,90.99
2701.00,90.99
2700.00,90.99
2699.00,90.99
2698.00,90.98
2697.00,90.97
2696.00,90.96
2695.00,90.96
2694.00,90.96
2693.00,90.97
2692.00,90.97
2691.00,90.96
2690.00,90.96
2689.00,90.96
2688.00,90.96
2687.00,90.97
2686.00,90.97
2685.00,90.96
2684.00,90.95
2683.00,90.94
2682.00,90.92
2681.00,90.91
2680.00,90.90
2679.00,90.90
2678.00,90.91
2677.00,90.92
2676.00,90.92
2675.00,90.91
2674.00,90.90
2673.00,90.89
2672.00,90.89
2671.00,90.89
2670.00,90.89
2669.00,90.89
2668.00,90.89
2667.00,90.89
2666.00,90.89
2665.00,90.88
2664.00,90.88
2663.00,90.86
2662.00,90.85
2661.00,90.83
2660.00,90.81
2659.00,90.80
2658.00,90.79
2657.00,90.78
2656.00,90.76
2655.00,90.75
2654.00,90.73
2653.00,90.73
2652.00,90.72
2651.00,90.71
2650.00,90.71
2649.00,90.69
2648.00,90.67
2647.00,90.65
2646.00,90.63
2645.00,90.62
2644.00,90.61
2643.00,90.59
2642.00,90.57
2641.00,90.57
2640.00,90.57
2639.00,90.57
2638.00,90.57
2637.00,90.57
2636.00,90.58
2635.00,90.59
2634.00,90.59
2633.00,90.58
2632.00,90.55
2631.00,90.52
2630.00,90.48
2629.00,90.46
2628.00,90.47
2627.00,90.48
2626.00,90.50
2625.00,90.50
2624.00,90.50
2623.00,90.50
2622.00,90.49
2621.00,90.48
2620.00,90.48
2619.00,90.47
2618.00,90.47
2617.00,90.46
2616.00,90.46
2615.00,90.46
2614.00,90.46
2613.00,90.47
2612.00,90.47
2611.00,90.47
2610.00,90.46
2609.00,90.44
2608.00,90.42
2607.00,90.42
2606.00,90.43
2605.00,90.43
2604.00,90.42
2603.00,90.40
2602.00,90.38
2601.00,90.37
2600.00,90.37
2599.00,90.38
2598.00,90.39
2597.00,90.40
2596.00,90.39
2595.00,90.36
2594.00,90.32
2593.00,90.29
2592.00,90.27
2591.00,90.25
2590.00,90.23
2589.00,90.22
2588.00,90.22
2587.00,90.23
2586.00,90.25
2585.00,90.26
2584.00,90.27
2583.00,90.27
2582.00,90.26
2581.00,90.25
2580.00,90.22
2579.00,90.21
2578.00,90.21
2577.00,90.21
2576.00,90.21
2575.00,90.21
2574.00,90.22
2573.00,90.22
2572.00,90.23
2571.00,90.22
2570.00,90.21
2569.00,90.18
2568.00,90.16
2567.00,90.15
2566.00,90.14
2565.00,90.11
2564.00,90.09
2563.00,90.07
2562.00,90.07
2561.00,90.08
2560.00,90.09
2559.00,90.10
2558.00,90.10
2557.00,90.10
2556.00,90.09
2555.00,90.09
2554.00,90.08
2553.00,90.07
2552.00,90.06
2551.00,90.05
2550.00,90.07
2549.00,90.08
2548.00,90.08
2547.00,90.06
2546.00,90.05
2545.00,90.05
2544.00,90.07
2543.00,90.08
2542.00,90.06
2541.00,90.04
2540.00,90.02
2539.00,90.02
2538.00,90.03
2537.00,90.05
2536.00,90.04
2535.00,90.03
2534.00,90.02
2533.00,90.01
2532.00,90.02
2531.00,90.03
2530.00,90.02
2529.00,90.00
2528.00,89.97
2527.00,89.97
2526.00,89.98
2525.00,90.00
2524.00,90.03
2523.00,90.06
2522.00,90.08
2521.00,90.10
2520.00,90.11
2519.00,90.11
2518.00,90.10
2517.00,90.08
2516.00,90.07
2515.00,90.08
2514.00,90.09
2513.00,90.10
2512.00,90.10
2511.00,90.10
2510.00,90.10
2509.00,90.11
2508.00,90.12
2507.00,90.12
2506.00,90.12
2505.00,90.12
2504.00,90.11
2503.00,90.09
2502.00,90.08
2501.00,90.08
2500.00,90.09
2499.00,90.12
2498.00,90.13
2497.00,90.12
2496.00,90.10
2495.00,90.07
2494.00,90.05
2493.00,90.04
2492.00,90.04
2491.00,90.05
2490.00,90.06
2489.00,90.07
2488.00,90.08
2487.00,90.11
2486.00,90.13
2485.00,90.13
2484.00,90.12
2483.00,90.10
2482.00,90.09
2481.00,90.08
2480.00,90.05
2479.00,90.03
2478.00,90.03
2477.00,90.05
2476.00,90.07
2475.00,90.08
2474.00,90.09
2473.00,90.09
2472.00,90.08
2471.00,90.08
2470.00,90.09
2469.00,90.09
2468.00,90.09
2467.00,90.09
2466.00,90.10
